n,affermazione,dichiarato,ricalcolato,metodo,esito,nota
1a,checksums.md5: 38 righe e md5sum -c passa su tutte,38 righe; 38/38 OK,"38 righe; 38/38 "": OK"" (0 FAILED)","wc -l; md5sum -c ricalcolato per intero (79.84 GB) in submit_job read-only (xargs -P6), da data/real",confermata,job 1eba0e3d; anche R1_download_status.tsv expected==observed 38/38
1b,5 md5 locali = md5 pubblicati 10x (files_10x_pages csv),uguali,"38/38 uguali (join per URL di download); i 5 *_tissue_image: a76dbb15… (A1), 83bea5bc… (A2), b3740ace… (A4), fc8227d6… (A5), 239d2d3a… (A6) tutti identici",pandas: checksums.md5 → manifest (filename→url) → files csv (url_download); confronto md5,confermata,"Un join per solo filename è ambiguo: Colon_Cancer esiste in SR 3.0.0 e 4.0.1 con stessi nomi file (44 match, 39 uguali) — il join corretto è per URL"
2,Somma byte dei 38 file = 79 839 793 197 (79.84 GB),79839793197,79839793197 (os.path.getsize sui 38 path di checksums.md5); idem somma colonna bytes di R1_download_status.tsv e di R1_md5.csv,stat sul server + somma colonne,confermata,"per dataset: A1 7.75, A2 36.74, A4 7.17, A5 12.05, A6 16.13 GB (decimali, 1e9)"
3,microns_per_pixel A1 (square_002um scalefactors_json.json),0.273761,0.273761267,json.load del file trovato con glob (1 file per dataset),confermata,bin_size_um=2.0; OME PhysicalSizeX nel TIFF = 0.273807 µm (scarto ≤0.08%)
3,microns_per_pixel A2 (square_002um scalefactors_json.json),0.273701,0.273701252,json.load del file trovato con glob (1 file per dataset),confermata,bin_size_um=2.0; OME PhysicalSizeX nel TIFF = 0.273812 µm (scarto ≤0.08%)
3,microns_per_pixel A4 (square_002um scalefactors_json.json),0.273775,0.273775031,json.load del file trovato con glob (1 file per dataset),confermata,bin_size_um=2.0; OME PhysicalSizeX nel TIFF = 0.273772 µm (scarto ≤0.08%)
3,microns_per_pixel A5 (square_002um scalefactors_json.json),0.274024,0.274023531,json.load del file trovato con glob (1 file per dataset),confermata,bin_size_um=2.0; OME PhysicalSizeX nel TIFF = 0.273810 µm (scarto ≤0.08%)
3,microns_per_pixel A6 (square_002um scalefactors_json.json),0.273811,0.273811429,json.load del file trovato con glob (1 file per dataset),confermata,bin_size_um=2.0; OME PhysicalSizeX nel TIFF = 0.273813 µm (scarto ≤0.08%)
4,Controprova scala A1: passo griglia × µm/px = 1.9991–2.0004 µm,1.9991–2.0004 (media geometrica LS affini; README A1: 1.9995),"asse col 1.99948 µm, asse row 1.99941 µm (mediana Δpxl fra bin adiacenti: |Δcol| 7.30372 px, |Δrow| 7.30349 px; span/(n-1): 7.30372/7.30349 px)","mediana e media delle differenze di pxl_*_in_fullres fra bin con array_* consecutivi (tutte le 11 219 150 coppie per asse, nessun sottocampionamento) + stimatore span/(n−1) per riga/colonna; × microns_per_pixel",confermata,"media geometrica = 1.99944; segno Δcol=+1, Δrow=-1; termine di rotazione -0.0486 px/passo; le coordinate pxl sono float64 esatte (Δ costante a 1e-9), non arrotondate"
4,Controprova scala A2: passo griglia × µm/px = 1.9991–2.0004 µm,1.9991–2.0004 (media geometrica LS affini; README A2: 1.9991),"asse col 1.99881 µm, asse row 1.99903 µm (mediana Δpxl fra bin adiacenti: |Δcol| 7.30287 px, |Δrow| 7.30371 px; span/(n-1): 7.30287/7.30371 px)","mediana e media delle differenze di pxl_*_in_fullres fra bin con array_* consecutivi (tutte le 11 219 150 coppie per asse, nessun sottocampionamento) + stimatore span/(n−1) per riga/colonna; × microns_per_pixel",confermata,"media geometrica = 1.99892; segno Δcol=+1, Δrow=-1; termine di rotazione +0.0963 px/passo; le coordinate pxl sono float64 esatte (Δ costante a 1e-9), non arrotondate; l'asse col di A2 (1.99881 µm) sta sotto il minimo dichiarato 1.9991 perché il valore dichiarato è la media geometrica dei due assi: la dichiarazione è corretta per la quantità che definisce, ma nasconde una differenza fra assi dello 0.011%"
4,Controprova scala A4: passo griglia × µm/px = 1.9991–2.0004 µm,1.9991–2.0004 (media geometrica LS affini; README A4: 2.0000),"asse col 2.00003 µm, asse row 1.99989 µm (mediana Δpxl fra bin adiacenti: |Δcol| 7.30536 px, |Δrow| 7.30487 px; span/(n-1): 7.30536/7.30487 px)","mediana e media delle differenze di pxl_*_in_fullres fra bin con array_* consecutivi (tutte le 11 219 150 coppie per asse, nessun sottocampionamento) + stimatore span/(n−1) per riga/colonna; × microns_per_pixel",confermata,"media geometrica = 1.99996; segno Δcol=+1, Δrow=-1; termine di rotazione +0.0115 px/passo; le coordinate pxl sono float64 esatte (Δ costante a 1e-9), non arrotondate"
4,Controprova scala A5: passo griglia × µm/px = 1.9991–2.0004 µm,1.9991–2.0004 (media geometrica LS affini; README A5: 1.9998),"asse col 1.99974 µm, asse row 1.99979 µm (mediana Δpxl fra bin adiacenti: |Δcol| 7.29768 px, |Δrow| 7.29787 px; span/(n-1): 7.29768/7.29787 px)","mediana e media delle differenze di pxl_*_in_fullres fra bin con array_* consecutivi (tutte le 11 219 150 coppie per asse, nessun sottocampionamento) + stimatore span/(n−1) per riga/colonna; × microns_per_pixel",confermata,"media geometrica = 1.99976; segno Δcol=+1, Δrow=-1; termine di rotazione -0.0085 px/passo; le coordinate pxl sono float64 esatte (Δ costante a 1e-9), non arrotondate"
4,Controprova scala A6: passo griglia × µm/px = 1.9991–2.0004 µm,1.9991–2.0004 (media geometrica LS affini; README A6: 2.0004),"asse col 2.00032 µm, asse row 2.00041 µm (mediana Δpxl fra bin adiacenti: |Δcol| 7.30545 px, |Δrow| 7.30580 px; span/(n-1): 7.30545/7.30580 px)","mediana e media delle differenze di pxl_*_in_fullres fra bin con array_* consecutivi (tutte le 11 219 150 coppie per asse, nessun sottocampionamento) + stimatore span/(n−1) per riga/colonna; × microns_per_pixel",confermata,"media geometrica = 2.00036; segno Δcol=-1, Δrow=+1; termine di rotazione +0.0591 px/passo; le coordinate pxl sono float64 esatte (Δ costante a 1e-9), non arrotondate"
5,"Immagine A1: 21943×23618 righe×colonne, RGB uint8 non compressa, 96 dpi",21943×23618; RGB uint8; compression none; 96 dpi,"21943×23618×3 uint8; compression=1 (none); photometric=RGB; spp=3; XRes/YRes=(96, 1), unit=2 (inch); gdalinfo: ""Size is 23618, 21943"", 3 bande Byte, nessun tag COMPRESSION",tifffile.TiffFile (page 0 / series 0) + gdalinfo,confermata,"bytes file / bytes raw = 1.0223 (coerente con non compresso); bigtiff=True, tiled=True, pagine=1"
5,"Immagine A2: 48740×75250 righe×colonne, RGB uint8 non compressa, 96 dpi",48740×75250; RGB uint8; compression none; 96 dpi,"48740×75250×3 uint8; compression=1 (none); photometric=RGB; spp=3; XRes/YRes=(96, 1), unit=2 (inch); gdalinfo: ""Size is 75250, 48740"", 3 bande Byte, nessun tag COMPRESSION",tifffile.TiffFile (page 0 / series 0) + gdalinfo,confermata,"bytes file / bytes raw = 1.0087 (coerente con non compresso); bigtiff=True, tiled=True, pagine=2; la 2ª pagina di A2 non è leggibile da tifffile (keyframe None)"
