dataset_id,filename,expected,observed,bytes,status
Visium_HD_Mouse_Small_Intestine,Visium_HD_Mouse_Small_Intestine_web_summary.html,4bcc09223e7fd8e81b4877d28863ad73,skipped,25966994,PASS
Visium_HD_Mouse_Small_Intestine,Visium_HD_Mouse_Small_Intestine_metrics_summary.csv,83dc19cc181a3f56de6e0c9e64879253,skipped,1728,PASS
Visium_HD_Mouse_Small_Intestine,Visium_HD_Mouse_Small_Intestine_spatial.tar.gz,727d38f94913b884d104d85986a8ec6d,skipped,80950876,PASS
Visium_HD_Mouse_Small_Intestine,Visium_HD_Mouse_Small_Intestine_binned_outputs.tar.gz,1fc4aabe02424ee0c3f80af5752e4e10,skipped,6034152093,PASS
Visium_HD_Mouse_Small_Intestine,Visium_HD_Mouse_Small_Intestine_image.tif,7c2c6fd56a44afd9d7510b462f551064,skipped,20642226,PASS
Visium_HD_Mouse_Small_Intestine,Visium_HD_Mouse_Small_Intestine_tissue_image.btf,a76dbb15dda063048b8ea8e4dce95e29,skipped,1589446057,PASS
Visium_HD_Human_Colon_Cancer,Visium_HD_Human_Colon_Cancer_barcode_mappings.parquet,db66b3e6afabd69dd7bf3d81f6d4cb34,skipped,115012535,PASS
Visium_HD_Human_Colon_Cancer,Visium_HD_Human_Colon_Cancer_binned_outputs.tar.gz,dfd6f299a6f04466b7ea16749e36ae4a,skipped,15912158814,PASS
Visium_HD_Human_Colon_Cancer,Visium_HD_Human_Colon_Cancer_metrics_summary.csv,52a11db5f07d9358c9b37ad2a34f306d,skipped,2068,PASS
Visium_HD_Human_Colon_Cancer,Visium_HD_Human_Colon_Cancer_segmented_outputs.tar.gz,68145dd25f65edc49c71e4ea5de12dc4,skipped,9505539130,PASS
Visium_HD_Human_Colon_Cancer,Visium_HD_Human_Colon_Cancer_spatial.tar.gz,a2f06bcf3c0665b7658a5647da2b02f0,skipped,62713603,PASS
Visium_HD_Human_Colon_Cancer,Visium_HD_Human_Colon_Cancer_web_summary.html,ccdf1b796fa6b5f92d243a8e6c9a0a82,skipped,13531860,PASS
Visium_HD_Human_Colon_Cancer,Visium_HD_Human_Colon_Cancer_image.tif,570ab9745d85eb7f38ee24309be44e78,skipped,28800576,PASS
