archetype,roi_id,tissue_mm2,n_matched,n_cp_excl_with_evidence,n_sd_excl_with_evidence,density_consensus,density_cellpose,density_stardist,density_spaceranger
A1,r1,0.7983075405148786,4207,4523,429,11473.022031199638,10946.908999962185,5832.338746289498,
A1,r2,0.6824111450845273,3341,3669,352,10788.21770867781,10263.607284919775,5439.536013938065,
A1,r3,0.810072587965033,4093,4380,337,10875.568598280091,10500.293586489268,5483.459218338271,
A1,r4,0.6388747105726207,3094,3621,282,10952.06913688698,10585.800139026243,5299.943704087367,
A1,r5,0.7231484917215399,3667,3867,286,10813.823287363251,10613.311218735673,5484.350787427449,
A2,r1,0.744364900432271,3519,2341,267,8231.17801019621,8794.073976618964,5201.749837682344,11811.411304985322
A2,r2,0.8616406194192121,3394,2223,190,6739.468717148226,7942.986722948589,4255.834645390484,9040.892251865796
A2,r3,0.6846237226089101,3155,1743,239,7503.391761571342,7900.690293622618,5059.713658182427,9276.628592123729
A2,r4,0.9710749188457036,3491,2037,221,5920.243524396363,7687.357437748974,3935.844625194451,6971.655707107911
A2,r5,0.9749638309796615,3188,1992,193,5510.973668224298,6622.809785171095,3516.0278679830435,6686.401887800893
A3,r1,0.9966630247564284,2307,1542,203,4065.5666954136846,4178.945036129811,2547.5009475951,5195.336709983233
A3,r2,0.9915610024196218,1600,1463,116,3206.0558979654884,3152.604824485724,1734.6386110414091,3573.1538365812285
A3,r3,0.9996628027061032,2491,1447,194,4133.393769193582,4300.450100136305,2720.9174860132,4274.441330049413
A3,r4,0.9979481296300692,3187,1138,224,4558.353149763681,4833.918574293251,3440.058554218228,5027.3153995085495
A3,r5,0.9916473960245724,2404,1522,157,4117.390935899584,4925.13772494087,2639.04288005124,4616.560299913862
A4,f1,0.9906911719559685,16619,2678,300,19781.13922354705,19603.485475353737,17092.10748953014,23929.75800237944
A4,f2,0.9970926445063476,18127,2215,473,20875.69306090442,20472.520896096183,18677.30155528336,25046.820009753883
A4,p1,0.999235667931835,22238,2997,319,25573.546681825632,25548.52755890767,22632.298591589835,31093.76596244511
A4,p2,0.9953791856868646,20981,2987,410,24491.169144930314,24366.593504025757,21543.54873836597,29713.299640268237
A4,p3,1.0002003884436448,22579,2481,460,25514.88711148196,25150.96003826176,23077.375560628,30057.9767288242
A5,r1,0.7459418065225408,1017,372,354,2336.6434013473277,1698.523918248459,1902.2931649522995,1327.1812778736974
A5,r2,0.8401032228143046,648,25,274,1127.2424319806755,924.8863459862564,1172.4749688500162,778.4757661197061
A5,r3,0.7805449129078585,522,18,255,1018.519225291329,826.3457865571161,1069.7654756204524,477.8712843190764
A5,r4,0.7482293668453108,426,14,230,895.4473450098037,700.3200131121449,999.6934538318404,481.13588687093926
A5,r5,0.869069770947668,769,127,361,1446.3740910345064,1068.9590537558126,1360.074920925049,905.5659583485732
A6,r1,0.9237092321592208,328,349,175,922.3681764102362,724.2538849981784,542.3784699313712,729.6668437799286
A6,r2,0.9000202584765191,390,151,329,966.644908052031,598.8754085517755,798.8709067694372,982.2001134689602
A6,r3,0.966052612857301,158,65,786,1044.4565715894844,306.401531407817,974.0670305903913,1121.0569544414386
A6,r4,0.9319670250917568,482,133,590,1292.9642010470936,658.821592898685,1141.6712945345291,1312.2781891125271
A6,r5,0.9094884106578824,399,164,495,1163.291348852583,630.0245206923724,976.3730791881792,1175.3860604191032
