archetype,roi_id,method,other,cls,n,frac_of_method,od_in_median,od_ring_median,od_tissue_median,frac_nuclear_evidence,area_median
A1,r1,cellpose_rgb,stardist_he,matched,4207,0.46414386584289496,0.055432906580743256,0.021227575648242073,0.017560085661453673,0.9878773472783456,13.490141650793971
A1,r1,cellpose_rgb,stardist_he,exclusive,4857,0.535856134157105,0.05011668231495409,0.0226425650933176,0.017560085661453673,0.9312332715668108,10.792113320635178
A1,r1,stardist_he,cellpose_rgb,matched,4207,0.9031773293258909,0.054771972577479996,0.02219894071447826,0.017560085661453673,0.9840741621107678,14.164648733333669
A1,r1,stardist_he,cellpose_rgb,exclusive,450,0.09660798626019751,0.05480600499957061,0.021783338144016652,0.017560085661453673,0.9533333333333334,17.64960199312211
A1,r2,cellpose_rgb,stardist_he,matched,3341,0.4607004964147821,0.05299774085522992,0.02030183951942915,0.016957154922027075,0.9928165219994014,13.93981303915377
A1,r2,cellpose_rgb,stardist_he,exclusive,3911,0.5392995035852178,0.04927496672283012,0.021800450798066615,0.016957154922027075,0.9381232421375607,11.166839477601675
A1,r2,stardist_he,cellpose_rgb,matched,3341,0.8993270524899057,0.05241778347765764,0.021332191232745552,0.016957154922027075,0.9850344208320863,14.539374890300168
A1,r2,stardist_he,cellpose_rgb,exclusive,373,0.10040376850605653,0.05049266979808679,0.01964233445169701,0.016957154922027075,0.9436997319034852,17.61212937742546
A1,r3,cellpose_rgb,stardist_he,matched,4093,0.4699735905385234,0.055714778474877706,0.020649305299414528,0.016858500795576947,0.9909601759100904,13.86486780776047
A1,r3,cellpose_rgb,stardist_he,exclusive,4616,0.5300264094614766,0.05079538066563917,0.022712683679486124,0.016858500795576947,0.9488734835355286,11.466620403174876
A1,r3,stardist_he,cellpose_rgb,matched,4093,0.9214317874831157,0.054977774679205726,0.022043789164435987,0.016858500795576947,0.9826533105301735,14.46442965890687
A1,r3,stardist_he,cellpose_rgb,exclusive,349,0.07856821251688428,0.05564834005066611,0.02106564950908508,0.016858500795576947,0.9656160458452722,18.06180076578526
A1,r4,cellpose_rgb,stardist_he,matched,3094,0.4442848937392303,0.051160149439107544,0.018067660050963344,0.01664401346839083,0.9912734324499031,14.689265353086768
A1,r4,cellpose_rgb,stardist_he,exclusive,3869,0.555571510626077,0.04521149808997324,0.01903906646695124,0.01664401346839083,0.9359007495476868,11.466620403174876
A1,r4,stardist_he,cellpose_rgb,matched,3094,0.9134927664599941,0.05061744279551177,0.019445882921061163,0.01664401346839083,0.984486102133161,15.288827204233167
A1,r4,stardist_he,cellpose_rgb,exclusive,292,0.08621198700915264,0.05298318798335819,0.01924225495829949,0.01664401346839083,0.9657534246575342,18.81125307971826
A1,r5,cellpose_rgb,stardist_he,matched,3667,0.46880593198670417,0.0516984836778961,0.017754824638689545,0.01616746696080021,0.9899100081810744,15.063991510053267
A1,r5,cellpose_rgb,stardist_he,exclusive,4152,0.5308105343901816,0.0467341531209916,0.019557710450272544,0.01616746696080021,0.9313583815028902,12.066182254321275
A1,r5,stardist_he,cellpose_rgb,matched,3667,0.9239103048626858,0.05153020799350534,0.01899640814704497,0.01616746696080021,0.9841832560676302,15.363772435626467
A1,r5,stardist_he,cellpose_rgb,exclusive,299,0.07533383723859914,0.05466514765180109,0.022390558561154593,0.01616746696080021,0.9565217391304348,20.085322013404358
A2,r1,cellpose_rgb,stardist_he,matched,3519,0.5335051546391752,0.052101820202280165,0.02684434374080613,0.029713506487211692,0.941744813867576,28.766352184280322
A2,r1,cellpose_rgb,stardist_he,exclusive,3077,0.46649484536082475,0.045492600190595575,0.029957488258739083,0.029713506487211692,0.7608059798505037,27.043367548242696
A2,r1,stardist_he,cellpose_rgb,matched,3519,0.9088326446280992,0.05236118317728796,0.029146261192142607,0.029713506487211692,0.8809320829781188,27.867403678521562
A2,r1,stardist_he,cellpose_rgb,exclusive,353,0.09116735537190082,0.053417900649588186,0.032189483046333976,0.029713506487211692,0.7563739376770539,27.492841801122076
A2,r1,cellpose_rgb,spaceranger,matched,5016,0.7604608853850818,0.04915576423779053,0.027428510871996,0.029713506487211692,0.8881578947368421,28.54161505784063
A2,r1,cellpose_rgb,spaceranger,exclusive,1580,0.23953911461491814,0.04805168849164322,0.03079569251545108,0.029713506487211692,0.759493670886076,25.470207663164867
A2,r1,spaceranger,cellpose_rgb,matched,5016,0.5687074829931973,0.04525813855455646,0.026479504107481608,0.029713506487211692,0.8195773524720893,32.58688333375505
A2,r1,spaceranger,cellpose_rgb,exclusive,3803,0.43117913832199545,0.04314860247520933,0.027038932556487757,0.029713506487211692,0.6797265316855114,23.073011647808173
A2,r1,stardist_he,spaceranger,matched,3537,0.9134814049586777,0.05236188582762027,0.029090936095775066,0.029713506487211692,0.8778625954198473,28.017228429481353
A2,r1,stardist_he,spaceranger,exclusive,335,0.08651859504132231,0.053417900649588186,0.032128358046579826,0.029713506487211692,0.7820895522388059,25.245470536725175
A2,r1,spaceranger,stardist_he,matched,3537,0.4010204081632653,0.047292292958321616,0.02548595653112677,0.029713506487211692,0.8815380265761945,35.13390410007154
A2,r1,spaceranger,stardist_he,exclusive,5282,0.5988662131519275,0.04247799250674082,0.027569541869322374,0.029713506487211692,0.6773949261643317,24.7210839083659
A2,r2,cellpose_rgb,stardist_he,matched,3394,0.49489647127442404,0.04464297981206142,0.02364280733215456,0.026685661953669008,0.9189746611667649,29.515475939079288
A2,r2,cellpose_rgb,stardist_he,exclusive,3464,0.505103528725576,0.0389470772787989,0.027435367371483284,0.026685661953669008,0.641743648960739,26.893542797282905
A2,r2,stardist_he,cellpose_rgb,matched,3394,0.925552222525225,0.04484527903077526,0.025432960895089098,0.026685661953669008,0.8547436652916912,28.766352184280322
A2,r2,stardist_he,cellpose_rgb,exclusive,273,0.07444777747477502,0.04394716044273374,0.02839072380590216,0.026685661953669008,0.6959706959706959,32.73670808471484
A2,r2,cellpose_rgb,spaceranger,matched,4903,0.7149314668999709,0.04273794693261938,0.024408088985504027,0.026685661953669008,0.8670201917193555,28.466702682360733
A2,r2,cellpose_rgb,spaceranger,exclusive,1955,0.28506853310002916,0.038910121284081854,0.028651013467739163,0.026685661953669008,0.5580562659846547,27.717578927561767
A2,r2,spaceranger,cellpose_rgb,matched,4903,0.626261336058245,0.03948328153197655,0.02421190585425503,0.026685661953669008,0.7448500917805425,32.06249670539577
A2,r2,spaceranger,cellpose_rgb,exclusive,2925,0.3736109337080087,0.03781615268487316,0.023906871761040553,0.026685661953669008,0.6434188034188034,21.57476413821024
A2,r2,stardist_he,spaceranger,matched,3355,0.9149168257431143,0.04482276755287272,0.025206917574641427,0.026685661953669008,0.8551415797317437,28.766352184280322
A2,r2,stardist_he,spaceranger,exclusive,312,0.08508317425688573,0.04449672667504505,0.02935320097259686,0.026685661953669008,0.7115384615384616,32.36214620731536
A2,r2,spaceranger,stardist_he,matched,3355,0.42853493421892963,0.04086218640965158,0.02318390741808418,0.026685661953669008,0.8280178837555887,35.13390410007154
A2,r2,spaceranger,stardist_he,exclusive,4473,0.571337335547324,0.03746453281967731,0.02501903094949423,0.026685661953669008,0.6161412921976303,24.7210839083659
A2,r3,cellpose_rgb,stardist_he,matched,3155,0.5815668202764976,0.04127428426322796,0.021878757557443562,0.024155759610002697,0.9423137876386688,32.661795709234944
