method,other,cls,archetype,n,frac_of_method,od_in,od_ring,nuclear_evidence
cellpose_rgb,spaceranger,exclusive,A2,9325,0.28506853310002916,0.03791174289534509,0.025118301475482475,0.5580562659846547
cellpose_rgb,spaceranger,exclusive,A3,5975,0.29202414998411186,0.026491326578504608,0.013356501870005002,0.761757902852737
cellpose_rgb,spaceranger,exclusive,A4,27531,0.23278279837955748,0.09552851019725236,0.05355927703322299,0.9720426875093943
cellpose_rgb,spaceranger,exclusive,A5,2150,0.4722222222222222,0.002119938344603314,0.00018726106271775133,0.18382352941176472
cellpose_rgb,spaceranger,exclusive,A6,1053,0.35646687697160884,0.02571157045696327,0.005685523687851936,0.915929203539823
cellpose_rgb,spaceranger,matched,A2,23484,0.7149314668999709,0.04021588307878842,0.022268370439483424,0.8670201917193555
cellpose_rgb,spaceranger,matched,A3,15370,0.7079758500158881,0.030847545430107603,0.010852757178538437,0.9411576590981772
cellpose_rgb,spaceranger,matched,A4,87862,0.7672172016204425,0.09175892897254626,0.044313443983833294,0.9849633481611428
cellpose_rgb,spaceranger,matched,A5,2282,0.5277777777777778,0.004886022032364678,0.000271923454083382,0.618421052631579
cellpose_rgb,spaceranger,matched,A6,1724,0.6422287390029325,0.028241086647369962,0.005155681414879638,1.0
cellpose_rgb,stardist_he,exclusive,A1,21405,0.535856134157105,0.04927496672283012,0.021800450798066615,0.9359007495476868
cellpose_rgb,stardist_he,exclusive,A2,16062,0.505103528725576,0.037646707807227724,0.024420223328575724,0.641743648960739
cellpose_rgb,stardist_he,exclusive,A3,9356,0.4474251497005988,0.027269850898833863,0.01377309584866193,0.7963676389653275
cellpose_rgb,stardist_he,exclusive,A4,14849,0.13376441258959176,0.08707135358054088,0.05150984314518184,0.9074615947329919
cellpose_rgb,stardist_he,exclusive,A5,1050,0.18952234206471494,0.0018632909620944728,0.00018726106271775133,0.1937984496124031
cellpose_rgb,stardist_he,exclusive,A6,1020,0.3226890756302521,0.021946241771518882,0.004720316175928746,0.875
cellpose_rgb,stardist_he,matched,A1,18402,0.46414386584289496,0.05299774085522992,0.02030183951942915,0.9909601759100904
cellpose_rgb,stardist_he,matched,A2,16747,0.49489647127442404,0.04127428426322796,0.021878757557443562,0.9189746611667649
cellpose_rgb,stardist_he,matched,A3,11989,0.5525748502994012,0.031478662731142415,0.009966159345810651,0.9627221499783268
cellpose_rgb,stardist_he,matched,A4,100544,0.8662355874104082,0.09302555735088505,0.0456179704834939,0.9915851012002304
cellpose_rgb,stardist_he,matched,A5,3382,0.8043143297380585,0.0037444078548865964,0.0002481212729137618,0.4624413145539906
cellpose_rgb,stardist_he,matched,A6,1757,0.6705882352941176,0.030323017643999976,0.005483097170313884,1.0
spaceranger,cellpose_rgb,exclusive,A2,12847,0.351907078951499,0.03582078550309697,0.02253879566564703,0.6879834966477566
spaceranger,cellpose_rgb,exclusive,A3,7294,0.29764404012129697,0.02702158161101432,0.01151566091115525,0.9067398119122257
spaceranger,cellpose_rgb,exclusive,A4,52229,0.3720754115349356,0.07053108506962126,0.04114908147759267,0.6963097398669087
spaceranger,cellpose_rgb,exclusive,A5,885,0.30428134556574926,0.019339763861908485,0.002277408072321536,0.984375
spaceranger,cellpose_rgb,exclusive,A6,3260,0.655933762649494,0.02080520508336236,0.004492074525603689,0.9959919839679359
spaceranger,cellpose_rgb,matched,A2,23484,0.647935959817925,0.03744369024753731,0.022340744294261024,0.750761200521966
spaceranger,cellpose_rgb,matched,A3,15370,0.702355959878703,0.02830250814014572,0.010713403771436668,0.9318835944995203
spaceranger,cellpose_rgb,matched,A4,87862,0.6279245884650644,0.0773298125218681,0.040043557144096104,0.9355305466237942
spaceranger,cellpose_rgb,matched,A5,2282,0.6957186544342507,0.0047058004047471486,0.000726805242655673,0.6052631578947368
spaceranger,cellpose_rgb,matched,A6,1724,0.33670653173873044,0.023428410556504613,0.00441693616110978,1.0
spaceranger,stardist_he,exclusive,A2,19778,0.5206548347613219,0.03571229227563962,0.023075886907978828,0.6773949261643317
spaceranger,stardist_he,exclusive,A3,10811,0.49247217979489416,0.026789284773119863,0.013190120339793467,0.8855748373101953
spaceranger,stardist_he,exclusive,A4,43448,0.32311585151020145,0.06811485949384088,0.04074312315636576,0.6144490644490644
spaceranger,stardist_he,exclusive,A5,398,0.13302752293577982,0.021964615399276407,0.004191335750400798,0.9285714285714286
spaceranger,stardist_he,exclusive,A6,1686,0.32934682612695493,0.018819031631920252,0.004419990536190351,0.9933774834437086
spaceranger,stardist_he,matched,A2,16553,0.4793451652386781,0.03816070918892199,0.02166232608702461,0.8280178837555887
spaceranger,stardist_he,matched,A3,11853,0.5075278202051058,0.02955138470709613,0.009787039638755667,0.9501267962806424
spaceranger,stardist_he,matched,A4,96643,0.6768841484897985,0.07738304668172388,0.04028244619689592,0.9403976543888584
spaceranger,stardist_he,matched,A5,2769,0.8669724770642202,0.005408484473598152,0.0008393527183165722,0.6903703703703704
spaceranger,stardist_he,matched,A6,3298,0.6632934682612696,0.023080862874197226,0.004492074525603689,1.0
stardist_he,cellpose_rgb,exclusive,A1,1763,0.08621198700915264,0.05466514765180109,0.02106564950908508,0.9565217391304348
stardist_he,cellpose_rgb,exclusive,A2,1507,0.08660387231815803,0.04134482091132625,0.02608305647439598,0.7563739376770539
stardist_he,cellpose_rgb,exclusive,A3,1040,0.08139090561711884,0.03645998301389031,0.017115413565764123,0.875
stardist_he,cellpose_rgb,exclusive,A4,2158,0.02158910752587895,0.08231039458424541,0.04763718619268405,0.9126984126984127
stardist_he,cellpose_rgb,exclusive,A5,1788,0.3499577345731192,0.012775680159132417,0.0005415154707296021,0.8146964856230032
stardist_he,cellpose_rgb,exclusive,A6,2399,0.5445544554455446,0.02971661683270379,0.004224572846831875,0.9882747068676717
stardist_he,cellpose_rgb,matched,A1,18402,0.9134927664599941,0.05241778347765764,0.021332191232745552,0.9841832560676302
stardist_he,cellpose_rgb,matched,A2,16747,0.913396127681842,0.0414755534254042,0.024177517318879915,0.8547436652916912
stardist_he,cellpose_rgb,matched,A3,11989,0.9186090943828812,0.031234968175244234,0.010070400625588945,0.9341135674035544
stardist_he,cellpose_rgb,matched,A4,100544,0.978317634990208,0.08961315962117403,0.04430217618815576,0.9886177421497852
stardist_he,cellpose_rgb,matched,A5,3382,0.6500422654268808,0.003781602684803806,0.0004204616280721091,0.47183098591549294
stardist_he,cellpose_rgb,matched,A6,1757,0.4413919413919414,0.02722671390978589,0.003731851109839845,1.0
stardist_he,spaceranger,exclusive,A2,1701,0.08651859504132231,0.04233038140287297,0.026481719304018707,0.7115384615384616
stardist_he,spaceranger,exclusive,A3,1176,0.08447422079813574,0.031566543050902576,0.014275510391922645,0.8208092485549133
stardist_he,spaceranger,exclusive,A4,6059,0.060706271406637535,0.09315935271540723,0.0523462025837674,0.9729083665338646
stardist_he,spaceranger,exclusive,A5,2401,0.4294167371090448,0.003550281520716222,0.00035467303489946245,0.4733178654292343
stardist_he,spaceranger,exclusive,A6,858,0.19031903190319033,0.03536677945081773,0.005768656999795371,0.9682539682539683
stardist_he,spaceranger,matched,A2,16553,0.9134814049586777,0.04140407868322231,0.02415635544135552,0.8551415797317437
stardist_he,spaceranger,matched,A3,11853,0.9155257792018643,0.031514505222092655,0.010092670728328252,0.9366018596787827
stardist_he,spaceranger,matched,A4,96643,0.9392937285933625,0.08931888331192628,0.043954192221314047,0.9877680043980209
stardist_he,spaceranger,matched,A5,2769,0.5705832628909552,0.00556214849038625,0.0005028050179830586,0.7066666666666667
stardist_he,spaceranger,matched,A6,3298,0.7948369565217391,0.0260780712566358,0.003831239072294994,1.0
