tp,n_a,n_b,precision_b_vs_a,recall_b_vs_a,f1_iou05,dice_binary,median_iou_matched,archetype,roi_id,method_a,method_b,density_a,density_b,delta_density_rel
4207,9064,4657,0.903371269057333,0.46414386584289496,0.6132206107426572,0.6288205282498539,0.8533333333333334,A1,r1,cellpose_rgb,stardist_he,10946.908999962183,5832.338746289498,-0.4672159285959492
6236,9064,10969,0.5685112590026438,0.6879964695498676,0.6225727549543254,0.635815956447202,0.6411263099186897,A1,r1,cellpose_rgb,cellpose_hed,10946.908999962183,13551.168504587584,0.23789907312049435
3341,7252,3714,0.899569197630587,0.4607004964147821,0.6093379536749954,0.6231484837168539,0.8459770114942529,A1,r2,cellpose_rgb,stardist_he,10263.607284919775,5439.536013938065,-0.47001713306681897
4862,7252,8753,0.5554666971324117,0.6704357418643133,0.6075601374570446,0.6380433797443223,0.6303413885692366,A1,r2,cellpose_rgb,cellpose_hed,10263.607284919775,12687.366058371705,0.2361507709880069
4093,8709,4442,0.9214317874831157,0.4699735905385234,0.6224621701771729,0.6304639910628694,0.8442211055276382,A1,r3,cellpose_rgb,stardist_he,10500.293586489268,5483.459218338271,-0.47778039031272035
5979,8709,10193,0.5865790248209556,0.6865311746469169,0.6326314675695693,0.6433268574679882,0.6346863468634686,A1,r3,cellpose_rgb,cellpose_hed,10500.293586489268,12476.659684769225,0.18822007994356924
3094,6963,3386,0.9137625516834023,0.4443487002728709,0.5979321673591651,0.6239141207587273,0.8436213991769548,A1,r4,cellpose_rgb,stardist_he,10585.800139026245,5299.943704087367,-0.4993346148159101
4938,6963,7940,0.6219143576826196,0.7091770788453253,0.6626853653626786,0.657292404913367,0.645441954167716,A1,r4,cellpose_rgb,cellpose_hed,10585.800139026245,12318.534244290484,0.16368475528611554
3667,7819,3966,0.9246091780131115,0.46898580381122906,0.6223165040305473,0.6332151572576241,0.8467741935483871,A1,r5,cellpose_rgb,stardist_he,10613.311218735671,5484.350787427449,-0.483257328990228
5558,7819,8705,0.6384836300976451,0.7108325872873769,0.672718470104091,0.6696178446172418,0.6486215130793445,A1,r5,cellpose_rgb,cellpose_hed,10613.311218735671,11969.879076140192,0.12781758957654735
3519,6596,3872,0.9088326446280992,0.5335051546391752,0.6723347344287351,0.6251918838651221,0.84375,A2,r1,cellpose_rgb,stardist_he,8794.073976618964,5201.749837682344,-0.4084937366330584
5016,6596,8819,0.568771969611067,0.7604608853850818,0.6507946805060006,0.7225374951438859,0.6554998145519191,A2,r1,cellpose_rgb,spaceranger,8794.073976618964,11811.411304985322,0.3431102963641917
3537,3872,8819,0.4010658804853158,0.9134814049586777,0.5574028839334961,0.5343796225236305,0.6596638655462185,A2,r1,stardist_he,spaceranger,5201.749837682344,11811.411304985322,1.2706611570247932
5355,6596,6402,0.8364573570759137,0.8118556701030928,0.8239729189106016,0.7960935859564495,0.8207217694994179,A2,r1,cellpose_rgb,cellpose_hed,8794.073976618964,8585.842771856369,-0.023678582340360615
3394,6858,3667,0.925552222525225,0.49489647127442404,0.6449406175771971,0.6002360820730352,0.8468995233986606,A2,r2,cellpose_rgb,stardist_he,7942.986722948589,4255.834645390484,-0.4642022209234366
4903,6858,7828,0.6263413387838528,0.7149314668999709,0.6677107449271414,0.6820905226743476,0.6572164948453608,A2,r2,cellpose_rgb,spaceranger,7942.986722948589,9040.892251865796,0.13822326125073062
3355,3667,7828,0.42858967807869186,0.9149168257431143,0.583732057416268,0.5468733522284616,0.6682692307692307,A2,r2,stardist_he,spaceranger,4255.834645390484,9040.892251865796,1.1243523316062178
4885,6858,6087,0.8025299819287005,0.7123067949839603,0.7547315565855542,0.7294156596916186,0.7912457912457912,A2,r2,cellpose_rgb,cellpose_hed,7942.986722948589,7055.145571128649,-0.11177673874926941
