archetype,roi_id,method,scale,um_per_px,n_all,n_keep,frac_small,frac_large,frac_out_tissue,frac_bubble,tissue_frac,bubble_frac,tissue_mm2,density_per_mm2,area_median,area_q25,area_q75,area_mean,area_cv,eq_diam_median,ecc_median,ecc_q75,major_minor_median,nn_median_um,nuclear_area_fraction
A1,r1,cellpose_hed,1,0.2737612671531527,10970,10818,0.013764813126709206,0.0,9.115770282588879e-05,0.0,0.798736517312904,0.000508656152040203,0.7983075405148786,13551.168504587584,18.43652692275176,13.19036072522077,24.50709066560905,19.955778578220098,0.5154125264802883,4.845009302944837,0.7442787879466357,0.8435137313745253,1.4972994792133059,4.322005125918036,0.2704241181536998
A1,r2,cellpose_hed,1,0.2737612671531527,8754,8658,0.01085218185972127,0.0,0.0001142334932602239,0.0,0.6823430333901572,0.0,0.6824111450845273,12687.366058371705,18.96114354250486,13.56508688218727,25.256542979542047,20.345648057400904,0.47438136660890307,4.913458839933124,0.75167472972688,0.845563304490428,1.5162220540095421,4.3809719759238455,0.25813268459904437
A1,r3,cellpose_hed,1,0.2737612671531527,10193,10107,0.008339056215049543,0.0,0.0,9.810654370646523e-05,0.8101476902332021,0.00015595589567270375,0.810072587965033,12476.659684769225,19.410814930864657,14.314539196120268,25.706214367901843,21.22261052379167,0.5072718995005975,4.971379804995049,0.7547705571704625,0.8486092687225529,1.5244160928594144,4.428956779840253,0.2647872891277506
A1,r4,cellpose_hed,1,0.2737612671531527,7940,7870,0.008816120906801008,0.0,0.0,0.0,0.6388109442649619,0.0,0.6388747105726207,12318.534244290484,19.33586969947136,13.78992257636717,26.530611913228142,21.551239311976023,0.5383043563837049,4.961773264994416,0.7738133484365688,0.8713135722896322,1.578747060799635,4.545928557674091,0.26547967947147594
A1,r5,cellpose_hed,1,0.2737612671531527,8710,8656,0.005625717566016073,0.0,0.000574052812858783,0.0,0.7230763140183956,0.0,0.7231484917215399,11969.879076140192,20.010376782011058,14.764210584480068,27.055228532981243,21.913809032469217,0.48562379072916306,5.047573974089615,0.7824501076286623,0.8708111956678408,1.6058755923917376,4.503387883975325,0.2623056442162852
A2,r1,cellpose_hed,1,0.2737012522439323,6402,6391,0.001718213058419244,0.0,0.0,0.0,0.7442095375427829,0.0,0.744364900432271,8585.842771856369,30.33951206935815,20.2263413795721,45.20961860211764,35.47141418293308,0.6193266641723483,6.215260777688781,0.7798996755183109,0.8756432142038759,1.5976877180912508,6.016277742981407,0.30455198507005954
A2,r2,cellpose_hed,1,0.2737012522439323,6087,6079,0.0013142763265976672,0.0,0.0,0.0,0.8614607788917295,0.0,0.8616406194192121,7055.145571128649,32.81162046019474,23.37266114972776,46.74532229945552,37.12199647318746,0.5401220255148221,6.463517053180977,0.7719463240465811,0.8665741371091074,1.5730994546376778,6.341769458893544,0.26190108900926184
A2,r3,cellpose_hed,1,0.2737012522439323,5490,5481,0.0012750455373406193,0.0,0.00036429872495446266,0.00018214936247723133,0.6844808288216092,0.0,0.6846237226089101,8005.85755210678,34.30986796979268,23.297748774247864,49.517080192211694,38.85623320287174,0.5589315038693243,6.609438756337966,0.7857876631986411,0.8796499877251966,1.6168243878616786,6.177302811889268,0.3110774680336329
A2,r4,cellpose_hed,1,0.2737012522439323,6370,6369,0.00015698587127158556,0.0,0.0,0.0,0.9708722373312827,0.0,0.9710749188457035,6558.711255327959,38.355136245707094,28.99108931072001,52.064100958528186,42.54872373261249,0.4763262995978941,6.988224110011015,0.7366131829113557,0.834197117696291,1.4786025001867646,6.443410007191884,0.2790647932449254
A2,r5,cellpose_hed,1,0.2737012522439323,6177,6173,0.00048567265662943174,0.0,0.0,0.00016189088554314392,0.9750422580494236,0.0002819202729468106,0.9749638309796617,6331.516927963631,39.10426000050606,28.09214080496125,53.56234846812612,43.48910353815358,0.5126104264307947,7.0561384765500295,0.7367521038775696,0.8351511093639787,1.4789334394743354,6.770368783277535,0.27535199523378245
A3,r1,cellpose_hed,1,0.2737012522439323,4656,4652,0.000859106529209622,0.0,0.0,0.0,0.9964550025252858,0.0,0.9966630247564284,4667.575584171881,41.38908745264291,28.017228429481353,59.12459234750845,47.398406198845606,0.5973185294120681,7.259353419930296,0.8013243429796209,0.8929666064888133,1.671598251422175,7.6653769295995735,0.2212356435023929
A3,r2,cellpose_hed,1,0.2737012522439323,3829,3825,0.0007834943849569079,0.0,0.0,0.00026116479498563595,0.9923629597549813,0.001008914678928799,0.9915610024196218,3857.5538879263895,36.781976360629265,24.795996283845795,54.236559847445186,43.69438116161021,0.6541011153677697,6.843410468170613,0.8537901506457558,0.92862835628773,1.920796695898606,7.869354443671409,0.16855342993050706
A3,r3,cellpose_hed,1,0.2737012522439323,4856,4853,0.00041186161449752884,0.00020593080724876442,0.0,0.0,0.9994541543651455,0.0,0.9996628027061031,4854.636970449287,40.30285800818441,27.942316054001456,58.28182812335961,46.85204889415323,0.5899185229571798,7.1634623319918855,0.8142829363007439,0.9039420737690156,1.7227473388472918,7.6496188666063025,0.22744968870285392
A3,r4,cellpose_hed,1,0.2737012522439323,5422,5420,0.00036886757654002215,0.0,0.0,0.0,0.9977398391734817,0.0,0.9979481296300691,5431.144003455518,39.40390950242565,28.241965555921045,55.36024547964364,45.02363688173803,0.5660698931827213,7.083121896145371,0.7697807423034118,0.866808145090903,1.566640866438462,7.112752649775962,0.24452985546401024
A3,r5,cellpose_hed,1,0.2737012522439323,4783,4782,0.0,0.0002090738030524775,0.0002090738030524775,0.0,0.9914404206490405,0.0,0.9916473960245724,4822.2785832652,40.153033257224614,30.039862567438565,54.835858851284364,46.14654025680222,0.5596461275975556,7.150134948668068,0.7478641558179538,0.8523889336889536,1.5063603197503763,6.851261898477798,0.22253147277216273
A4,f1,cellpose_hed,1,0.273775031262766,23178,23141,0.0015963413581844854,0.0,0.0,0.0,0.9904926886676448,0.0,0.9906911719559685,23358.4396985305,22.485830322878545,17.38904211635941,29.381484955227968,24.916630753190763,0.49969637085846824,5.350686718851516,0.6290952933174815,0.733354753212251,1.2864579149225852,4.799208432991663,0.582013616938957
A4,f2,cellpose_hed,1,0.273775031262766,24252,24230,0.0009071416790367805,0.0,0.0,0.0,0.9968928786939054,0.0,0.9970926445063475,24300.650630108776,23.535169071279544,18.963050238960907,29.531390490713825,25.438131064064734,0.44358963535747453,5.474112526572783,0.6201236413653131,0.7225779745335386,1.2746906118508896,4.809770391186831,0.6181631356707543
A4,p1,cellpose_hed,1,0.273775031262766,29782,29769,0.0004365052716405883,0.0,0.0,0.0,0.9990354727683011,0.0,0.999235667931835,29791.770805794287,26.083563174539112,20.686963897048262,31.70502075525875,26.58086644196418,0.33347749711364205,5.762865962472234,0.6064479139682023,0.7032359963831538,1.2576667120909624,4.767524622166016,0.7918910808584255
A4,p2,cellpose_hed,1,0.273775031262766,28744,28729,0.00045226829947119396,0.0,0.00010436960757027553,0.0,0.9951797631629775,0.0,0.9953791856868646,28862.36764150886,25.558893800338613,20.537058361562405,31.030445845572395,26.57160538084853,0.3723984860467865,5.704611670068131,0.6141424766546248,0.7116563071523273,1.2671136828936995,4.728628810248508,0.7669194433271453
A4,p3,cellpose_hed,1,0.273775031262766,29851,29831,0.000669994305048407,0.0,0.0,0.0,1.0,0.0,1.0002003884436448,29825.023409977206,23.984885677737115,19.562672380904335,28.78186281328454,24.675598887420552,0.35512079276771513,5.526165480769367,0.6037340999679887,0.7016502356254329,1.2544127726723793,4.693647616902404,0.7359503144725255
A5,r1,cellpose_hed,1,0.2740235311137736,1318,1230,0.057663125948406675,0.0,0.009104704097116844,0.0,0.746073311018775,0.0,0.7459418065225408,1648.9221937218663,52.93767140086318,19.654518424363033,98.74189771934054,61.569842001199966,0.7354560314502956,8.20989260793189,0.6204030876161831,0.7275258873825161,1.2750502130358061,13.34925626404425,0.10152387893972735
A5,r2,cellpose_hed,1,0.2740235311137736,713,713,0.0,0.0,0.0,0.0,0.8402513273314867,0.0,0.8401032228143046,848.7052312589457,89.65614135124913,49.258315516264176,128.702367065361,90.12415685204078,0.5570492438929165,10.684275576602086,0.5743612732238486,0.7136413969761741,1.2215949625420353,18.10296747951339,0.07648884338312877
A5,r3,cellpose_hed,1,0.2740235311137736,468,450,0.03205128205128205,0.0,0.00641025641025641,0.0,0.7806825176977532,0.0,0.7805449129078585,576.520316202639,58.081260749741375,25.943213431203162,116.68814376871117,72.96921951326482,0.737135892335634,8.599421633192131,0.5661731736430407,0.6853691093374125,1.213170687421448,19.504068918089892,0.04206823750684722
