archetype,dataset,roi_id,label,x_mm,y_mm
A1,Visium_HD_Mouse_Small_Intestine,r1,mucosa villi+cripte anello esterno,0.55,3.8
A1,Visium_HD_Mouse_Small_Intestine,r2,mucosa anello esterno SW,1.2,5.3
A1,Visium_HD_Mouse_Small_Intestine,r3,mucosa anello esterno S,2.3,5.4
A1,Visium_HD_Mouse_Small_Intestine,r4,mucosa anelli interni,1.6,4.5
A1,Visium_HD_Mouse_Small_Intestine,r5,mucosa anelli interni,2.6,4.9
A2,Visium_HD_Human_Colon_Cancer,r1,tumore ghiandolare superficiale,11.7,1.7
A2,Visium_HD_Human_Colon_Cancer,r2,tumore ghiandolare superficiale,13.0,1.6
A2,Visium_HD_Human_Colon_Cancer,r3,tumore ghiandolare,14.3,1.8
A2,Visium_HD_Human_Colon_Cancer,r4,nidi tumorali invasivi,13.2,4.0
A2,Visium_HD_Human_Colon_Cancer,r5,nidi tumorali invasivi,12.3,4.2
A3,Visium_HD_Human_Colon_Cancer,r1,stroma desmoplastico (cluster 2),11.9,3.3
A3,Visium_HD_Human_Colon_Cancer,r2,stroma desmoplastico (cluster 2),12.5,3.0
A3,Visium_HD_Human_Colon_Cancer,r3,stroma desmoplastico (cluster 2),13.7,2.9
A3,Visium_HD_Human_Colon_Cancer,r4,stroma desmoplastico (cluster 2),14.1,3.7
A3,Visium_HD_Human_Colon_Cancer,r5,stroma desmoplastico (cluster 2; margine tumorale in basso),13.1,3.3
A4,Visium_HD_Human_Lymph_Node_FFPE,f1,follicolo (cluster 5),2.15,2.0
A4,Visium_HD_Human_Lymph_Node_FFPE,f2,follicolo (cluster 5),2.85,3.0
A4,Visium_HD_Human_Lymph_Node_FFPE,p1,paracorticale (cluster 2),3.2,2.2
A4,Visium_HD_Human_Lymph_Node_FFPE,p2,paracorticale (cluster 2),3.3,3.3
A4,Visium_HD_Human_Lymph_Node_FFPE,p3,paracorticale (cluster 2),3.0,3.9
A5,Visium_HD_6p5mm_Mouse_Brain,r1,corteccia dorsale (cluster 1),2.0,0.85
A5,Visium_HD_6p5mm_Mouse_Brain,r2,corteccia dorsale (cluster 1),4.3,1.1
A5,Visium_HD_6p5mm_Mouse_Brain,r3,corteccia laterale (cluster 1),5.4,2.5
A5,Visium_HD_6p5mm_Mouse_Brain,r4,corteccia laterale (cluster 1),5.5,3.8
A5,Visium_HD_6p5mm_Mouse_Brain,r5,corteccia dorsale (cluster 1),3.7,0.85
A6,Visium_HD_6p5mm_Human_Heart,r1,miocardio,4.2,4.9
A6,Visium_HD_6p5mm_Human_Heart,r2,miocardio,5.7,5.4
A6,Visium_HD_6p5mm_Human_Heart,r3,miocardio,7.6,5.6
A6,Visium_HD_6p5mm_Human_Heart,r4,miocardio,8.5,7.5
A6,Visium_HD_6p5mm_Human_Heart,r5,miocardio,4.4,8.0
