archetype,roi_id,method,scale,um_per_px,n_labels,n_keep,label_px_sum,tissue_frac,bubble_frac,seconds,seed,flow_threshold,cellprob_threshold
A1,r1,cellpose_rgb,1,0.2737612671531527,9064,8739,1631397,0.7987228209207317,0.0010419344910666333,7.4,0,0.4,0.0
A1,r1,cellpose_rgb,2,0.5475225343063054,7440,7439,447308,0.798736517312904,0.0010425051795352274,2.0,0,0.4,0.0
A1,r1,cellpose_rgb,4,1.0950450686126108,181,165,29713,0.798736517312904,0.0010425051795352274,0.6,0,0.4,0.0
A1,r2,cellpose_rgb,1,0.2737612671531527,7252,7004,1353003,0.6822033107648304,0.0,6.9,0,0.4,0.0
A1,r2,cellpose_rgb,2,0.5475225343063054,5676,5676,337278,0.6823430333901572,0.0,1.9,0,0.4,0.0
A1,r2,cellpose_rgb,4,1.0950450686126108,75,67,13029,0.6823430333901572,0.0,0.5,0,0.4,0.0
A1,r3,cellpose_rgb,1,0.2737612671531527,8709,8506,1654803,0.810074166641625,0.0008189197438417843,7.0,0,0.4,0.0
A1,r3,cellpose_rgb,2,0.5475225343063054,6841,6841,392681,0.8101476902332021,0.0008193682826496667,2.0,0,0.4,0.0
A1,r3,cellpose_rgb,4,1.0950450686126108,116,100,22898,0.8101476902332021,0.0008193682826496667,0.6,0,0.4,0.0
A1,r4,cellpose_rgb,1,0.2737612671531527,6964,6763,1373318,0.6388902648292629,0.0,6.9,0,0.4,0.0
A1,r4,cellpose_rgb,2,0.5475225343063054,5518,5518,326291,0.6388109442649619,0.0,1.9,0,0.4,0.0
A1,r4,cellpose_rgb,4,1.0950450686126108,275,273,18048,0.6388109442649619,0.0,0.6,0,0.4,0.0
A1,r5,cellpose_rgb,1,0.2737612671531527,7822,7675,1573666,0.7231059089990423,0.0,7.0,0,0.4,0.0
A1,r5,cellpose_rgb,2,0.5475225343063054,6392,6389,385179,0.7230763140183956,0.0,2.0,0,0.4,0.0
A1,r5,cellpose_rgb,4,1.0950450686126108,261,261,13680,0.7230763140183956,0.0,0.5,0,0.4,0.0
A2,r1,cellpose_rgb,1,0.2737012522439323,6596,6546,2983557,0.7443043276235055,0.0,7.5,0,0.4,0.0
A2,r1,cellpose_rgb,2,0.5474025044878646,5675,5675,709419,0.7443043276235055,0.0,2.0,0,0.4,0.0
A2,r1,cellpose_rgb,4,1.0948050089757293,1493,1493,84724,0.7442095375427829,0.0,0.6,0,0.4,0.0
