archetype,roi_id,n_sr,n_keep,frac_overlap_cellpose,frac_od_inside_gt_ring,od_inside_median,od_ring_median
A2,r1,8820,8792,0.8673469387755102,0.9886621315192744,0.04434416639079847,0.023314922473524895
A2,r2,7829,7790,0.8655000638651169,0.9891429301315622,0.03887846795801781,0.022008921367081716
A2,r3,6371,6351,0.8857322241406372,0.9888557526291006,0.036936735940449536,0.0200790619191239
A2,r4,6778,6770,0.9358217763352021,0.9485098849218059,0.031811902834119776,0.019457537705036825
A2,r5,6536,6519,0.897796817625459,0.966187270501836,0.03114556335273578,0.015124475150023185
A3,r1,5187,5178,0.8367071524966262,0.9907460960092539,0.03284282959048829,0.012479724376356404
A3,r2,3572,3543,0.853023516237402,0.9977603583426652,0.027423385681728727,0.007277783408342767
A3,r3,4287,4273,0.8894331700489853,0.9920690459528808,0.02751321084380308,0.008781555525043975
A3,r4,5035,5017,0.9142005958291957,0.9735849056603774,0.027944919941113446,0.0089047626881905
A3,r5,4583,4578,0.9120663320968798,0.9559240672048877,0.029496173237443444,0.014371839591325356
A4,f1,23820,23707,0.893408900083963,0.9924853064651553,0.06581391144685572,0.02850505912017346
A4,f2,25089,24974,0.894057156522779,0.9923871019171748,0.07383542272267017,0.030994251778627115
A4,p1,31221,31070,0.9038467698023767,0.9893020723231158,0.07517587902535453,0.03229335921837856
A4,p2,29734,29576,0.8979955606376538,0.9911885383735791,0.08194130646576483,0.037261726645377094
A4,p3,30231,30064,0.9031788561410473,0.9916311071416758,0.08260245909754518,0.03833803401080632
A5,r1,1011,990,0.820969337289812,1.0,0.006520225345468655,0.0006651279976978264
A5,r2,654,654,0.7232415902140673,1.0,0.005663881093377069,0.0005523169778482777
A5,r3,374,373,0.732620320855615,0.9973262032085561,0.005472839052188781,0.0004962346278247555
A5,r4,361,360,0.7479224376731302,1.0,0.007335752825063639,0.0006044916453652731
A5,r5,788,787,0.7055837563451777,1.0,0.006086784752046612,0.00070980969749634
A6,r1,681,674,0.8237885462555066,1.0,0.01742704929616339,0.0026954485465786097
A6,r2,889,884,0.5883014623172104,1.0,0.017615535987551674,0.002742065529775562
A6,r3,1107,1083,0.21499548328816623,1.0,0.02396113307128901,0.00363946450089576
A6,r4,1248,1223,0.4879807692307692,1.0,0.02478262632756217,0.0036979185167659388
A6,r5,1087,1069,0.49862005519779207,1.0,0.021979662092959117,0.0035986111330452235
