win_id,archetype,rater_a,rater_b,n_a,n_b,rel_diff,tp_3um,f1_3um,tp_5um,f1_5um
A1_w1,A1,Luca,model:deepseek_flash_nothink,162,147,0.0970873786407767,60,0.3883495145631068,70,0.45307443365695793
A1_w1,A1,Luca,model:deepseek_flash_think,162,195,0.18487394957983194,82,0.45938375350140054,132,0.7394957983193278
A1_w1,A1,Luca,model:gpt6_astra,162,145,0.11074918566775244,119,0.7752442996742671,136,0.8859934853420195
A1_w1,A1,model:deepseek_flash_nothink,model:deepseek_flash_think,147,195,0.2807017543859649,78,0.45614035087719296,90,0.5263157894736842
A1_w1,A1,model:deepseek_flash_nothink,model:gpt6_astra,147,145,0.0136986301369863,61,0.4178082191780822,69,0.4726027397260274
A1_w1,A1,model:deepseek_flash_think,model:gpt6_astra,195,145,0.29411764705882354,80,0.47058823529411764,125,0.7352941176470589
A1_w2,A1,Luca,model:deepseek_flash_nothink,95,58,0.48366013071895425,15,0.19607843137254902,27,0.35294117647058826
A1_w2,A1,Luca,model:deepseek_flash_think,95,110,0.14634146341463414,29,0.28292682926829266,57,0.5560975609756098
A1_w2,A1,Luca,model:gpt6_astra,95,145,0.4166666666666667,71,0.5916666666666667,84,0.7
A1_w2,A1,model:deepseek_flash_nothink,model:deepseek_flash_think,58,110,0.6190476190476191,11,0.13095238095238096,42,0.5
A1_w2,A1,model:deepseek_flash_nothink,model:gpt6_astra,58,145,0.8571428571428571,18,0.17733990147783252,37,0.3645320197044335
A1_w2,A1,model:deepseek_flash_think,model:gpt6_astra,110,145,0.27450980392156865,42,0.32941176470588235,60,0.47058823529411764
A1_w3,A1,Luca,model:deepseek_flash_nothink,142,154,0.08108108108108109,67,0.4527027027027027,102,0.6891891891891891
A1_w3,A1,Luca,model:deepseek_flash_think,142,230,0.4731182795698925,80,0.43010752688172044,127,0.6827956989247311
A1_w3,A1,Luca,model:gpt6_astra,142,183,0.2523076923076923,107,0.6584615384615384,129,0.7938461538461539
A1_w3,A1,model:deepseek_flash_nothink,model:deepseek_flash_think,154,230,0.3958333333333333,96,0.5,152,0.7916666666666666
A1_w3,A1,model:deepseek_flash_nothink,model:gpt6_astra,154,183,0.17210682492581603,76,0.45103857566765576,114,0.6765578635014837
A1_w3,A1,model:deepseek_flash_think,model:gpt6_astra,230,183,0.22760290556900725,100,0.48426150121065376,156,0.7554479418886199
A1_w4,A1,Luca,model:deepseek_flash_nothink,97,58,0.5032258064516129,10,0.12903225806451613,24,0.3096774193548387
A1_w4,A1,Luca,model:deepseek_flash_think,97,162,0.5019305019305019,28,0.21621621621621623,52,0.4015444015444015
A1_w4,A1,Luca,model:gpt6_astra,97,166,0.5247148288973384,81,0.6159695817490495,92,0.6996197718631179
A1_w4,A1,model:deepseek_flash_nothink,model:deepseek_flash_think,58,162,0.9454545454545454,31,0.2818181818181818,44,0.4
A1_w4,A1,model:deepseek_flash_nothink,model:gpt6_astra,58,166,0.9642857142857143,19,0.16964285714285715,40,0.35714285714285715
A1_w4,A1,model:deepseek_flash_think,model:gpt6_astra,162,166,0.024390243902439025,53,0.3231707317073171,87,0.5304878048780488
A2_w1,A2,Luca,model:deepseek_flash_nothink,145,68,0.7230046948356808,13,0.12206572769953052,33,0.30985915492957744
A2_w1,A2,Luca,model:deepseek_flash_think,145,139,0.04225352112676056,32,0.22535211267605634,75,0.528169014084507
A2_w1,A2,Luca,model:gpt6_astra,145,155,0.06666666666666667,74,0.49333333333333335,106,0.7066666666666667
A2_w1,A2,model:deepseek_flash_nothink,model:deepseek_flash_think,68,139,0.6859903381642513,21,0.2028985507246377,49,0.47342995169082125
A2_w1,A2,model:deepseek_flash_nothink,model:gpt6_astra,68,155,0.7802690582959642,18,0.16143497757847533,41,0.36771300448430494
A2_w1,A2,model:deepseek_flash_think,model:gpt6_astra,139,155,0.10884353741496598,41,0.2789115646258503,94,0.6394557823129252
A2_w2,A2,Luca,model:deepseek_flash_nothink,135,69,0.6470588235294118,21,0.20588235294117646,39,0.38235294117647056
A2_w2,A2,Luca,model:deepseek_flash_think,135,200,0.3880597014925373,56,0.33432835820895523,108,0.6447761194029851
A2_w2,A2,Luca,model:gpt6_astra,135,135,0.0,72,0.5333333333333333,98,0.725925925925926
A2_w2,A2,model:deepseek_flash_nothink,model:deepseek_flash_think,69,200,0.9739776951672863,26,0.19330855018587362,65,0.483271375464684
A2_w2,A2,model:deepseek_flash_nothink,model:gpt6_astra,69,135,0.6470588235294118,18,0.17647058823529413,37,0.3627450980392157
A2_w2,A2,model:deepseek_flash_think,model:gpt6_astra,200,135,0.3880597014925373,41,0.24477611940298508,101,0.6029850746268657
A2_w3,A2,Luca,model:deepseek_flash_nothink,127,69,0.5918367346938775,15,0.15306122448979592,42,0.42857142857142855
A2_w3,A2,Luca,model:deepseek_flash_think,127,100,0.23788546255506607,31,0.27312775330396477,58,0.5110132158590308
A2_w3,A2,Luca,model:gpt6_astra,127,159,0.22377622377622378,71,0.4965034965034965,98,0.6853146853146853
A2_w3,A2,model:deepseek_flash_nothink,model:deepseek_flash_think,69,100,0.3668639053254438,30,0.35502958579881655,52,0.6153846153846154
A2_w3,A2,model:deepseek_flash_nothink,model:gpt6_astra,69,159,0.7894736842105263,22,0.19298245614035087,45,0.39473684210526316
A2_w3,A2,model:deepseek_flash_think,model:gpt6_astra,100,159,0.4555984555984556,31,0.23938223938223938,65,0.5019305019305019
A2_w4,A2,Luca,model:deepseek_flash_nothink,106,123,0.14847161572052403,18,0.1572052401746725,54,0.47161572052401746
A2_w4,A2,Luca,model:deepseek_flash_think,106,250,0.8089887640449438,38,0.21348314606741572,79,0.4438202247191011
A2_w4,A2,Luca,model:gpt6_astra,106,133,0.22594142259414227,66,0.5523012552301255,83,0.694560669456067
A2_w4,A2,model:deepseek_flash_nothink,model:deepseek_flash_think,123,250,0.6809651474530831,100,0.5361930294906166,118,0.6327077747989276
A2_w4,A2,model:deepseek_flash_nothink,model:gpt6_astra,123,133,0.078125,27,0.2109375,64,0.5
A2_w4,A2,model:deepseek_flash_think,model:gpt6_astra,250,133,0.6109660574412533,58,0.3028720626631854,106,0.5535248041775457
A3_w1,A3,Luca,model:deepseek_flash_nothink,60,68,0.125,6,0.09375,15,0.234375
A3_w1,A3,Luca,model:deepseek_flash_think,60,91,0.4105960264900662,6,0.07947019867549669,18,0.23841059602649006
A3_w1,A3,Luca,model:gpt6_astra,60,83,0.32167832167832167,47,0.6573426573426573,56,0.7832167832167832
A3_w1,A3,model:deepseek_flash_nothink,model:deepseek_flash_think,68,91,0.2893081761006289,6,0.07547169811320754,25,0.31446540880503143
A3_w1,A3,model:deepseek_flash_nothink,model:gpt6_astra,68,83,0.1986754966887417,9,0.11920529801324503,23,0.304635761589404
A3_w1,A3,model:deepseek_flash_think,model:gpt6_astra,91,83,0.09195402298850575,4,0.04597701149425287,21,0.2413793103448276
A3_w2,A3,Luca,model:deepseek_flash_nothink,104,42,0.8493150684931506,4,0.0547945205479452,12,0.1643835616438356
