win_id,archetype,roi_id,rater,method,n_manual,n_obj,n_obj_unkept,n_obj_in_excl,tp,tp_points,recall,precision,ghost_frac,density_obj_net,median_cost_um,frac_inside_mask
A1_w1,A1,r1,Luca,cellpose_rgb,162,154,2,0,132,132,0.8148148148148148,0.8571428571428571,0.1428571428571429,15423.785864831285,0.0,1.0
A1_w1,A1,r1,Luca,stardist_he,162,86,0,0,79,79,0.4876543209876543,0.9186046511627907,0.08139534883720934,8613.283015425262,0.0,0.9873417721518988
A1_w2,A1,r2,Luca,cellpose_rgb,95,92,0,0,70,70,0.7368421052631579,0.7608695652173914,0.23913043478260865,9214.209737431676,0.0,0.9857142857142858
A1_w2,A1,r2,Luca,stardist_he,95,38,0,0,33,33,0.3473684210526316,0.868421052631579,0.13157894736842102,3805.8692393739534,0.0,1.0
A1_w3,A1,r3,Luca,cellpose_rgb,142,147,5,0,125,127,0.8943661971830986,0.8503401360544217,0.1496598639455783,14722.704689157135,0.0,0.9921259842519685
A1_w3,A1,r3,Luca,stardist_he,142,64,0,0,58,58,0.4084507042253521,0.90625,0.09375,6409.885034735079,0.0,1.0
A1_w4,A1,r4,Luca,cellpose_rgb,97,99,1,0,77,79,0.8144329896907216,0.7777777777777778,0.2222222222222222,9915.290913105826,0.0,0.9873417721518988
A1_w4,A1,r4,Luca,stardist_he,97,38,0,0,32,34,0.35051546391752575,0.8421052631578947,0.1578947368421053,3805.8692393739534,0.0,1.0
A2_w1,A2,r2,Luca,cellpose_rgb,145,115,0,0,88,89,0.6137931034482759,0.7652173913043478,0.23478260869565215,8001.954001146961,0.0,1.0
A2_w1,A2,r2,Luca,stardist_he,145,31,0,0,30,30,0.20689655172413793,0.967741935483871,0.032258064516129004,2157.048469874398,0.0,1.0
A2_w1,A2,r2,Luca,spaceranger,145,86,0,0,64,65,0.4482758620689655,0.7441860465116279,0.2558139534883721,5984.069948683814,0.0,0.9846153846153847
A2_w2,A2,r3,Luca,cellpose_rgb,135,129,1,0,116,119,0.8814814814814815,0.8992248062015504,0.10077519379844957,8976.104923025721,0.0,1.0
A2_w2,A2,r3,Luca,stardist_he,135,88,0,0,79,81,0.6,0.8977272727272727,0.10227272727272729,6123.2343660950655,0.0,1.0
A2_w2,A2,r3,Luca,spaceranger,135,139,0,0,114,114,0.8444444444444444,0.8201438848920863,0.17985611510791366,9671.927010081978,0.0,1.0
A2_w3,A2,r4,Luca,cellpose_rgb,127,99,0,0,86,88,0.6929133858267716,0.8686868686868687,0.13131313131313127,6888.638661856949,0.0,1.0
A2_w3,A2,r4,Luca,stardist_he,127,49,0,0,39,39,0.30708661417322836,0.7959183673469388,0.20408163265306123,3409.5282265756614,0.0,1.0
A2_w3,A2,r4,Luca,spaceranger,127,116,0,0,86,87,0.6850393700787402,0.7413793103448276,0.2586206896551724,8071.536209852587,0.0,0.9770114942528736
A2_w4,A2,r5,Luca,cellpose_rgb,106,94,0,0,82,84,0.7924528301886793,0.8723404255319149,0.12765957446808507,6540.7276183288195,0.0,1.0
A2_w4,A2,r5,Luca,stardist_he,106,61,0,0,56,57,0.5377358490566038,0.9180327868852459,0.08196721311475408,4244.51473104317,0.0,1.0
A2_w4,A2,r5,Luca,spaceranger,106,110,0,0,87,88,0.8301886792452831,0.7909090909090909,0.2090909090909091,7654.042957618832,0.0,0.9886363636363636
A3_w1,A3,r1,Luca,cellpose_rgb,60,58,0,0,49,49,0.8166666666666667,0.8448275862068966,0.15517241379310343,2578.180431567611,0.0,1.0
A3_w1,A3,r1,Luca,stardist_he,60,38,0,0,36,36,0.6,0.9473684210526315,0.052631578947368474,1689.1526965442968,0.0,1.0
A3_w1,A3,r1,Luca,spaceranger,60,61,0,0,48,48,0.8,0.7868852459016393,0.21311475409836067,2711.534591821108,0.0,1.0
A3_w2,A3,r3,Luca,cellpose_rgb,104,81,0,0,63,63,0.6057692307692307,0.7777777777777778,0.2222222222222222,3600.562326844422,0.0,1.0
A3_w2,A3,r3,Luca,stardist_he,104,44,0,0,28,28,0.2692307692307692,0.6363636363636364,0.36363636363636365,1955.861017051291,0.0,1.0
A3_w2,A3,r3,Luca,spaceranger,104,53,0,0,28,28,0.2692307692307692,0.5283018867924528,0.4716981132075472,2355.923497811782,0.0,1.0
A3_w3,A3,r4,Luca,cellpose_rgb,78,85,1,0,61,62,0.7948717948717948,0.7176470588235294,0.2823529411764706,3778.367873849085,0.0,1.0
A3_w3,A3,r4,Luca,stardist_he,78,59,0,0,47,48,0.6153846153846154,0.7966101694915254,0.2033898305084746,2622.6318183187764,0.0,1.0
A3_w3,A3,r4,Luca,spaceranger,78,76,0,0,60,61,0.782051282051282,0.7894736842105263,0.21052631578947367,3378.3053930885935,0.0,1.0
A3_w4,A3,r5,Luca,cellpose_rgb,37,19,0,0,18,19,0.5135135135135135,0.9473684210526315,0.052631578947368474,844.5763482721484,0.0,1.0
A3_w4,A3,r5,Luca,stardist_he,37,11,0,0,11,12,0.32432432432432434,1.0,0.0,488.9652542628227,0.0,1.0
A3_w4,A3,r5,Luca,spaceranger,37,16,0,0,15,16,0.43243243243243246,0.9375,0.0625,711.2221880186512,0.0,0.9375
A4_w1,A4,f1,Luca,cellpose_rgb,67,62,0,0,52,52,0.7761194029850746,0.8387096774193549,0.16129032258064513,17247.088241788148,0.0,1.0
A4_w1,A4,f1,Luca,stardist_he,67,46,0,0,39,39,0.582089552238806,0.8478260869565217,0.15217391304347827,12796.226760036367,0.0,0.9743589743589743
A4_w1,A4,f1,Luca,spaceranger,67,76,0,0,60,60,0.8955223880597015,0.7894736842105263,0.21052631578947367,21141.592038320952,0.0,0.9666666666666667
A4_w2,A4,p1,Luca,cellpose_rgb,118,100,0,0,98,103,0.8728813559322034,0.98,0.020000000000000018,27817.884260948624,0.0,0.9902912621359223
A4_w2,A4,p1,Luca,stardist_he,118,96,0,0,95,99,0.8389830508474576,0.9895833333333334,0.01041666666666663,26705.16889051068,0.0,1.0
A4_w2,A4,p1,Luca,spaceranger,118,119,2,0,109,113,0.9576271186440678,0.9159663865546218,0.08403361344537819,33103.28227052886,0.0,1.0
A4_w3,A4,p2,Luca,cellpose_rgb,108,98,1,0,95,98,0.9074074074074074,0.9693877551020408,0.030612244897959218,27261.52657572965,0.0,0.9897959183673469
A4_w3,A4,p2,Luca,stardist_he,108,86,0,0,86,89,0.8240740740740741,1.0,0.0,23923.380464415815,0.0,0.9887640449438202
A4_w3,A4,p2,Luca,spaceranger,108,111,1,0,99,102,0.9444444444444444,0.8918918918918919,0.10810810810810811,30877.851529652973,0.0,0.9901960784313726
A4_w4,A4,p3,Luca,cellpose_rgb,111,90,0,0,87,93,0.8378378378378378,0.9666666666666667,0.033333333333333326,25036.09583485376,0.0,1.0
A4_w4,A4,p3,Luca,stardist_he,111,86,0,0,84,90,0.8108108108108109,0.9767441860465116,0.023255813953488413,23923.380464415815,0.0,1.0
A4_w4,A4,p3,Luca,spaceranger,111,111,1,0,101,106,0.954954954954955,0.9099099099099099,0.09009009009009006,30877.851529652973,0.0,0.9905660377358491
A5_w1,A5,r1,Luca,cellpose_rgb,104,77,0,0,71,72,0.6923076923076923,0.922077922077922,0.07792207792207795,1232.8928435335213,0.0,1.0
