win_id,status,n_declared,n_points,mismatch,out_of_bounds,unreadable_fraction,confidence,n_candidates,file,model
A1_w1,ok,145,145,False,0,0.01,medium,1,nuclei_results.json,gpt6_astra
A1_w2,ok,145,145,False,0,0.04,low,1,nuclei_results.json,gpt6_astra
A1_w3,ok,183,183,False,0,0.03,low,1,nuclei_results.json,gpt6_astra
A1_w4,ok,166,166,False,0,0.03,low,1,nuclei_results.json,gpt6_astra
A2_w1,ok,155,155,False,0,0.12,low,1,nuclei_results.json,gpt6_astra
A2_w2,ok,135,135,False,0,0.02,medium,1,nuclei_results.json,gpt6_astra
A2_w3,ok,159,159,False,0,0.02,medium,1,nuclei_results.json,gpt6_astra
A2_w4,ok,133,133,False,0,0.01,medium,1,nuclei_results.json,gpt6_astra
A3_w1,ok,83,83,False,0,0.0,medium,1,nuclei_results.json,gpt6_astra
A3_w2,ok,121,121,False,0,0.03,low,1,nuclei_results.json,gpt6_astra
A3_w3,ok,170,170,False,0,0.01,medium,1,nuclei_results.json,gpt6_astra
A3_w4,ok,37,37,False,0,0.02,low,1,nuclei_results.json,gpt6_astra
A4_w1,ok,80,80,False,0,0.0,medium,1,nuclei_results.json,gpt6_astra
A4_w2,ok,123,123,False,0,0.0,medium,1,nuclei_results.json,gpt6_astra
A4_w3,ok,119,119,False,0,0.0,medium,1,nuclei_results.json,gpt6_astra
A4_w4,ok,123,123,False,0,0.0,medium,1,nuclei_results.json,gpt6_astra
A5_w1,ok,125,125,False,0,0.002,medium,1,nuclei_results.json,gpt6_astra
A5_w2,ok,80,80,False,0,0.0,medium,1,nuclei_results.json,gpt6_astra
A5_w3,ok,77,77,False,0,0.001,medium,1,nuclei_results.json,gpt6_astra
A5_w4,ok,139,139,False,0,0.003,medium,1,nuclei_results.json,gpt6_astra
A6_w1,ok,77,77,False,0,0.0,medium,1,nuclei_results.json,gpt6_astra
A6_w2,ok,70,70,False,0,0.018,medium,1,nuclei_results.json,gpt6_astra
A6_w3,ok,77,77,False,0,0.025,medium,1,nuclei_results.json,gpt6_astra
A6_w4,ok,78,78,False,0,0.067,medium,1,nuclei_results.json,gpt6_astra
A1_w1,ok,195,195,False,0,0.0,medium,1,A1_w1.json,deepseek_flash_think
A1_w2,ok,110,110,False,0,0.0,medium,1,A1_w2.json,deepseek_flash_think
A1_w3,ok,230,230,False,0,0.0,medium,1,A1_w3.json,deepseek_flash_think
A1_w4,ok,162,162,False,0,0.0,medium,1,A1_w4.json,deepseek_flash_think
A2_w1,ok,199,139,True,0,0.0,low,1,A2_w1.json,deepseek_flash_think
A2_w2,ok,200,200,False,0,0.0,medium,1,A2_w2.json,deepseek_flash_think
A2_w3,ok,100,100,False,0,0.0,low,1,A2_w3.json,deepseek_flash_think
A2_w4,ok,250,250,False,0,0.0,low,1,A2_w4.json,deepseek_flash_think
A3_w1,ok,91,91,False,0,0.0,medium,1,A3_w1.json,deepseek_flash_think
A3_w2,ok,28,28,False,0,0.0,medium,1,A3_w2.json,deepseek_flash_think
A3_w3,ok,185,185,False,0,0.0,medium,1,A3_w3.json,deepseek_flash_think
A3_w4,ok,42,42,False,0,0.0,medium,1,A3_w4.json,deepseek_flash_think
A4_w1,ok,98,98,False,0,0.0,medium,1,A4_w1.json,deepseek_flash_think
A4_w2,ok,253,253,False,0,0.0,medium,1,A4_w2.json,deepseek_flash_think
A4_w3,ok,193,193,False,0,0.0,medium,1,A4_w3.json,deepseek_flash_think
A4_w4,ok,150,150,False,0,0.0,medium,1,A4_w4.json,deepseek_flash_think
A5_w1,ok,301,301,False,0,0.0,low,1,A5_w1.json,deepseek_flash_think
A5_w2,ok,98,98,False,0,0.0,medium,1,A5_w2.json,deepseek_flash_think
A5_w3,ok,139,139,False,0,0.0,low,1,A5_w3.json,deepseek_flash_think
A5_w4,ok,176,194,True,0,0.0,medium,1,A5_w4.json,deepseek_flash_think
A6_w1,ok,107,107,False,0,0.0,medium,1,A6_w1.json,deepseek_flash_think
A6_w2,ok,146,146,False,0,0.01,medium,1,A6_w2.json,deepseek_flash_think
A6_w3,ok,242,0,0,0,0.03,low,1,A6_w3.json,deepseek_flash_think
A6_w4,ok,250,256,True,0,0.02,medium,1,A6_w4.json,deepseek_flash_think
A1_w1,ok,142,147,True,0,0.0,medium,1,A1_w1.json,deepseek_flash_nothink
A1_w2,ok,58,58,False,0,0.0,medium,1,A1_w2.json,deepseek_flash_nothink
A1_w3,ok,142,154,True,0,0.0,medium,1,A1_w3.json,deepseek_flash_nothink
A1_w4,ok,58,58,False,0,0.0,low,1,A1_w4.json,deepseek_flash_nothink
A2_w1,ok,68,68,False,0,0.0,medium,1,A2_w1.json,deepseek_flash_nothink
A2_w2,ok,68,69,True,0,0.0,medium,1,A2_w2.json,deepseek_flash_nothink
A2_w3,ok,68,69,True,0,0.0,medium,1,A2_w3.json,deepseek_flash_nothink
A2_w4,ok,118,123,True,0,0.0,medium,1,A2_w4.json,deepseek_flash_nothink
A3_w1,ok,68,68,False,0,0.0,medium,1,A3_w1.json,deepseek_flash_nothink
A3_w2,ok,42,42,False,0,0.0,medium,1,A3_w2.json,deepseek_flash_nothink
A3_w3,ok,95,93,True,0,0.0,medium,1,A3_w3.json,deepseek_flash_nothink
A3_w4,ok,24,24,False,0,0.0,medium,1,A3_w4.json,deepseek_flash_nothink
A4_w1,ok,68,72,True,0,0.0,medium,1,A4_w1.json,deepseek_flash_nothink
A4_w2,ok,118,184,True,0,0.0,medium,1,A4_w2.json,deepseek_flash_nothink
A4_w3,ok,118,184,True,0,0.0,medium,1,A4_w3.json,deepseek_flash_nothink
A4_w4,ok,118,138,True,0,0.0,medium,1,A4_w4.json,deepseek_flash_nothink
A5_w1,ok,108,112,True,0,0.0,medium,1,A5_w1.json,deepseek_flash_nothink
A5_w2,ok,62,61,True,0,0.0,medium,1,A5_w2.json,deepseek_flash_nothink
A5_w3,ok,58,58,False,0,0.0,medium,1,A5_w3.json,deepseek_flash_nothink
A5_w4,ok,108,111,True,0,0.0,high,1,A5_w4.json,deepseek_flash_nothink
A6_w1,ok,68,70,True,0,0.0,medium,1,A6_w1.json,deepseek_flash_nothink
A6_w2,ok,68,69,True,0,0.0,low,1,A6_w2.json,deepseek_flash_nothink
A6_w3,ok,68,69,True,0,0.0,medium,1,A6_w3.json,deepseek_flash_nothink
A6_w4,ok,68,68,False,0,0.0,medium,1,A6_w4.json,deepseek_flash_nothink
