win_id,archetype,rater,n_rater,n_primary,rel_err,count_only
A1_w1,A1,model:deepseek_flash_nothink,147,162,-0.09259259259259259,False
A1_w2,A1,model:deepseek_flash_nothink,58,95,-0.3894736842105263,False
A1_w3,A1,model:deepseek_flash_nothink,154,142,0.08450704225352113,False
A1_w4,A1,model:deepseek_flash_nothink,58,97,-0.4020618556701031,False
A2_w1,A2,model:deepseek_flash_nothink,68,145,-0.5310344827586206,False
A2_w2,A2,model:deepseek_flash_nothink,69,135,-0.4888888888888889,False
A2_w3,A2,model:deepseek_flash_nothink,69,127,-0.4566929133858268,False
A2_w4,A2,model:deepseek_flash_nothink,123,106,0.16037735849056603,False
A3_w1,A3,model:deepseek_flash_nothink,68,60,0.13333333333333333,False
A3_w2,A3,model:deepseek_flash_nothink,42,104,-0.5961538461538461,False
A3_w3,A3,model:deepseek_flash_nothink,93,78,0.19230769230769232,False
A3_w4,A3,model:deepseek_flash_nothink,24,37,-0.35135135135135137,False
A4_w1,A4,model:deepseek_flash_nothink,72,67,0.07462686567164178,False
A4_w2,A4,model:deepseek_flash_nothink,184,118,0.559322033898305,False
A4_w3,A4,model:deepseek_flash_nothink,184,108,0.7037037037037037,False
A4_w4,A4,model:deepseek_flash_nothink,138,111,0.24324324324324326,False
A5_w1,A5,model:deepseek_flash_nothink,112,104,0.07692307692307693,False
A5_w2,A5,model:deepseek_flash_nothink,61,50,0.22,False
A5_w3,A5,model:deepseek_flash_nothink,58,58,0.0,False
A5_w4,A5,model:deepseek_flash_nothink,111,84,0.32142857142857145,False
A6_w1,A6,model:deepseek_flash_nothink,70,51,0.37254901960784315,False
A6_w2,A6,model:deepseek_flash_nothink,69,60,0.15,False
A6_w3,A6,model:deepseek_flash_nothink,69,62,0.11290322580645161,False
A6_w4,A6,model:deepseek_flash_nothink,68,69,-0.014492753623188406,False
A1_w1,A1,model:deepseek_flash_think,195,162,0.2037037037037037,False
A1_w2,A1,model:deepseek_flash_think,110,95,0.15789473684210525,False
A1_w3,A1,model:deepseek_flash_think,230,142,0.6197183098591549,False
A1_w4,A1,model:deepseek_flash_think,162,97,0.6701030927835051,False
A2_w1,A2,model:deepseek_flash_think,139,145,-0.041379310344827586,False
A2_w2,A2,model:deepseek_flash_think,200,135,0.48148148148148145,False
A2_w3,A2,model:deepseek_flash_think,100,127,-0.2125984251968504,False
A2_w4,A2,model:deepseek_flash_think,250,106,1.3584905660377358,False
A3_w1,A3,model:deepseek_flash_think,91,60,0.5166666666666667,False
A3_w2,A3,model:deepseek_flash_think,28,104,-0.7307692307692307,False
A3_w3,A3,model:deepseek_flash_think,185,78,1.3717948717948718,False
A3_w4,A3,model:deepseek_flash_think,42,37,0.13513513513513514,False
A4_w1,A4,model:deepseek_flash_think,98,67,0.4626865671641791,False
A4_w2,A4,model:deepseek_flash_think,253,118,1.1440677966101696,False
A4_w3,A4,model:deepseek_flash_think,193,108,0.7870370370370371,False
A4_w4,A4,model:deepseek_flash_think,150,111,0.35135135135135137,False
A5_w1,A5,model:deepseek_flash_think,301,104,1.8942307692307692,False
A5_w2,A5,model:deepseek_flash_think,98,50,0.96,False
A5_w3,A5,model:deepseek_flash_think,139,58,1.396551724137931,False
A5_w4,A5,model:deepseek_flash_think,194,84,1.3095238095238095,False
A6_w1,A6,model:deepseek_flash_think,107,51,1.0980392156862746,False
A6_w2,A6,model:deepseek_flash_think,146,60,1.4333333333333333,False
A6_w3,A6,model:deepseek_flash_think,242,62,2.903225806451613,True
A6_w4,A6,model:deepseek_flash_think,256,69,2.710144927536232,False
A1_w1,A1,model:gpt6_astra,145,162,-0.10493827160493827,False
A1_w2,A1,model:gpt6_astra,145,95,0.5263157894736842,False
A1_w3,A1,model:gpt6_astra,183,142,0.2887323943661972,False
A1_w4,A1,model:gpt6_astra,166,97,0.711340206185567,False
A2_w1,A2,model:gpt6_astra,155,145,0.06896551724137931,False
A2_w2,A2,model:gpt6_astra,135,135,0.0,False
A2_w3,A2,model:gpt6_astra,159,127,0.25196850393700787,False
A2_w4,A2,model:gpt6_astra,133,106,0.25471698113207547,False
A3_w1,A3,model:gpt6_astra,83,60,0.38333333333333336,False
A3_w2,A3,model:gpt6_astra,121,104,0.16346153846153846,False
A3_w3,A3,model:gpt6_astra,170,78,1.1794871794871795,False
A3_w4,A3,model:gpt6_astra,37,37,0.0,False
A4_w1,A4,model:gpt6_astra,80,67,0.19402985074626866,False
A4_w2,A4,model:gpt6_astra,123,118,0.0423728813559322,False
A4_w3,A4,model:gpt6_astra,119,108,0.10185185185185185,False
A4_w4,A4,model:gpt6_astra,123,111,0.10810810810810811,False
A5_w1,A5,model:gpt6_astra,125,104,0.20192307692307693,False
A5_w2,A5,model:gpt6_astra,80,50,0.6,False
A5_w3,A5,model:gpt6_astra,77,58,0.3275862068965517,False
A5_w4,A5,model:gpt6_astra,139,84,0.6547619047619048,False
A6_w1,A6,model:gpt6_astra,77,51,0.5098039215686274,False
A6_w2,A6,model:gpt6_astra,70,60,0.16666666666666666,False
A6_w3,A6,model:gpt6_astra,77,62,0.24193548387096775,False
A6_w4,A6,model:gpt6_astra,78,69,0.13043478260869565,False
