win_id,archetype,dataset,roi_id,roi_label,side_um,side_px,um_per_px,area_mm2,c0_roi,r0_roi,x0_um,y0_um,c0_img,r0_img,inside_roi,tissue_frac,bubble_frac,n_tries,roundtrip_identical,roundtrip_maxdiff,md5_array,png,rater2,density_consensus_roi,expected_consensus,n_cellpose_rgb,n_stardist_he,n_spaceranger
A1_w1,A1,Visium_HD_Mouse_Small_Intestine,r1,mucosa villi+cripte anello esterno,100,365,0.2737612671531527,0.009984578452372371,1424,3180,389.8360444260894,870.5608295470255,1607,15234,True,0.983546631638206,0.0,1,True,0,c8ddb3b5e8634843de95544a29b99840,/mnt/micron/geo_spatialtrans/R2b/windows/A1_w1.png,True,11473.022031199638,114.5532885563094,154,86,
A1_w2,A1,Visium_HD_Mouse_Small_Intestine,r2,mucosa anello esterno SW,100,365,0.2737612671531527,0.009984578452372371,2231,1733,610.7613870186836,474.4282759764136,4788,19266,True,0.9824657534246576,0.0,3,True,0,6892119176a377cc0af11b39d94129c5,/mnt/micron/geo_spatialtrans/R2b/windows/A1_w2.png,False,10788.21770867781,107.7158060735665,92,38,
A1_w3,A1,Visium_HD_Mouse_Small_Intestine,r3,mucosa anello esterno S,100,365,0.2737612671531527,0.009984578452372371,2946,724,806.5006930331879,198.20315741888254,9521,18623,True,0.9770913867517358,0.0,1,True,0,3764980fd6a96604ce24ab4d82e84990,/mnt/micron/geo_spatialtrans/R2b/windows/A1_w3.png,False,10875.568598280091,108.587967883685,147,64,
A1_w4,A1,Visium_HD_Mouse_Small_Intestine,r4,mucosa anelli interni,100,365,0.2737612671531527,0.009984578452372371,1937,2174,530.2755744756568,595.156994790954,5955,16785,True,0.9861287295927942,0.0,2,True,0,1f27466f6998995703215891d0a11773,/mnt/micron/geo_spatialtrans/R2b/windows/A1_w4.png,True,10952.06913688698,109.3517935130542,99,38,
A2_w1,A2,Visium_HD_Human_Colon_Cancer,r2,tumore ghiandolare superficiale,120,438,0.2737012522439323,0.014371489761565296,2218,2732,607.0693774770419,747.7518211304231,47888,6751,True,1.0,0.0,1,True,0,132fcaede662e77f3088d54ddcb9d19d,/mnt/micron/geo_spatialtrans/R2b/windows/A2_w1.png,False,6739.468717148226,96.85620566688533,115,31,86.0
A2_w2,A2,Visium_HD_Human_Colon_Cancer,r3,tumore ghiandolare,120,438,0.2737012522439323,0.014371489761565296,2296,1518,628.4180751520686,415.47850090628924,52716,6268,True,0.9569441838160172,0.0,2,True,0,25379eff99d10edbd6846b4632abae1c,/mnt/micron/geo_spatialtrans/R2b/windows/A2_w2.png,True,7503.391761571342,107.83491787843593,129,88,139.0
A2_w3,A2,Visium_HD_Human_Colon_Cancer,r4,nidi tumorali invasivi,120,438,0.2737012522439323,0.014371489761565296,2747,1855,751.8573399140821,507.71582291249445,49148,14642,True,1.0,0.0,1,True,0,f5e29dc0b71b04f6c586c6c8f2a27f9c,/mnt/micron/geo_spatialtrans/R2b/windows/A2_w3.png,False,5920.243524396363,85.08271919683557,99,49,116.0
A2_w4,A2,Visium_HD_Human_Colon_Cancer,r5,nidi tumorali invasivi,120,438,0.2737012522439323,0.014371489761565296,694,924,189.94866905728904,252.89995707339347,43807,14442,True,1.0,0.0,1,True,0,c986e3d40ffa1485fefaa803a7cf4041,/mnt/micron/geo_spatialtrans/R2b/windows/A2_w4.png,True,5510.973668224298,79.20090164914144,94,61,110.0
A3_w1,A3,Visium_HD_Human_Colon_Cancer,r1,stroma desmoplastico (cluster 2),150,548,0.2737012522439323,0.02249648600611489,1152,3008,315.30384258501005,823.2933667497484,42803,13238,True,1.0,0.0,1,True,0,cced2e7e58ff26203f0a831bf0f09a0d,/mnt/micron/geo_spatialtrans/R2b/windows/A3_w1.png,True,4065.566695413685,91.46096427030072,58,38,61.0
A3_w2,A3,Visium_HD_Human_Colon_Cancer,r3,stroma desmoplastico (cluster 2),150,548,0.2737012522439323,0.02249648600611489,2910,195,796.470644029843,53.371744187566804,51138,8963,True,1.0,0.0,1,True,0,f3409d4e0127cf7be1c08cbb1e3ce9ec,/mnt/micron/geo_spatialtrans/R2b/windows/A3_w2.png,False,4133.393769193582,92.98683508642588,81,44,53.0
