win_id,inside_roi,tissue_ge_0.90,bubble_eq_0,roundtrip_identical,C-R2b.1
A1_w1,True,True,True,True,PASS
A1_w2,True,True,True,True,PASS
A1_w3,True,True,True,True,PASS
A1_w4,True,True,True,True,PASS
A2_w1,True,True,True,True,PASS
A2_w2,True,True,True,True,PASS
A2_w3,True,True,True,True,PASS
A2_w4,True,True,True,True,PASS
A3_w1,True,True,True,True,PASS
A3_w2,True,True,True,True,PASS
A3_w3,True,True,True,True,PASS
A3_w4,True,True,True,True,PASS
A4_w1,True,True,True,True,PASS
A4_w2,True,True,True,True,PASS
A4_w3,True,True,True,True,PASS
A4_w4,True,True,True,True,PASS
A5_w1,True,True,True,True,PASS
A5_w2,True,True,True,True,PASS
A5_w3,True,True,True,True,PASS
A5_w4,True,True,True,True,PASS
A6_w1,True,True,True,True,PASS
A6_w2,True,True,True,True,PASS
A6_w3,True,True,True,True,PASS
A6_w4,True,True,True,True,PASS
