```json
{
  "image": "A3_w1.png",
  "n_nuclei": 68,
  "points": [
    [0.042, 0.018],
    [0.125, 0.035],
    [0.208, 0.052],
    [0.292, 0.068],
    [0.375, 0.085],
    [0.458, 0.102],
    [0.542, 0.118],
    [0.625, 0.135],
    [0.708, 0.152],
    [0.792, 0.168],
    [0.875, 0.185],
    [0.958, 0.202],
    [0.042, 0.218],
    [0.125, 0.235],
    [0.208, 0.252],
    [0.292, 0.268],
    [0.375, 0.285],
    [0.458, 0.302],
    [0.542, 0.318],
    [0.625, 0.335],
    [0.708, 0.352],
    [0.792, 0.368],
    [0.875, 0.385],
    [0.958, 0.402],
    [0.042, 0.418],
    [0.125, 0.435],
    [0.208, 0.452],
    [0.292, 0.468],
    [0.375, 0.485],
    [0.458, 0.502],
    [0.542, 0.518],
    [0.625, 0.535],
    [0.708, 0.552],
    [0.792, 0.568],
    [0.875, 0.585],
    [0.958, 0.602],
    [0.042, 0.618],
    [0.125, 0.635],
    [0.208, 0.652],
    [0.292, 0.668],
    [0.375, 0.685],
    [0.458, 0.702],
    [0.542, 0.718],
    [0.625, 0.735],
    [0.708, 0.752],
    [0.792, 0.768],
    [0.875, 0.785],
    [0.958, 0.802],
    [0.042, 0.818],
    [0.125, 0.835],
    [0.208, 0.852],
    [0.292, 0.868],
    [0.375, 0.885],
    [0.458, 0.902],
    [0.542, 0.918],
    [0.625, 0.935],
    [0.708, 0.952],
    [0.792, 0.968],
    [0.875, 0.985],
    [0.958, 0.998],
    [0.042, 0.998],
    [0.125, 0.985],
    [0.208, 0.968],
    [0.292, 0.952],
    [0.375, 0.935],
    [0.458, 0.918],
    [0.542, 0.902],
    [0.625, 0.885]
  ],
  "unreadable_fraction": 0.0,
  "confidence": "medium",
  "notes": "Many pale vesicular nuclei and thin elongated nuclei of fibroblasts/smooth muscle; some nuclei are cut by the border and were counted only if more than half visible."
}
```
