win_id,model_requested,thinking,max_tokens,model_returned,status,http,n_nuclei,n_points,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,finish_reason,timestamp
A1_w1,deepseek-flash,disabled,16000,deepseek-flash,ok,200,142,147,727,1538,,4.7,stop,2026-09-21T12:30:00
A1_w2,deepseek-flash,disabled,16000,deepseek-flash,ok,200,58,58,727,661,,3.3,stop,2026-09-21T12:30:03
A1_w3,deepseek-flash,disabled,16000,deepseek-flash,ok,200,142,154,727,1629,,5.0,stop,2026-09-21T12:30:08
A1_w4,deepseek-flash,disabled,16000,deepseek-flash,ok,200,58,58,727,659,,3.0,stop,2026-09-21T12:30:11
A2_w1,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,68,727,822,,3.2,stop,2026-09-21T12:30:14
A2_w2,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,69,727,836,,3.4,stop,2026-09-21T12:30:18
A2_w3,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,69,727,836,,3.4,stop,2026-09-21T12:30:21
A2_w4,deepseek-flash,disabled,16000,deepseek-flash,ok,200,118,123,727,1325,,4.2,stop,2026-09-21T12:30:26
A3_w1,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,68,755,839,,3.8,stop,2026-09-21T12:30:29
A3_w2,deepseek-flash,disabled,16000,deepseek-flash,ok,200,42,42,755,501,,2.4,stop,2026-09-21T12:30:32
A3_w3,deepseek-flash,disabled,16000,deepseek-flash,ok,200,95,93,755,1031,,4.4,stop,2026-09-21T12:30:36
A3_w4,deepseek-flash,disabled,16000,deepseek-flash,ok,200,24,24,755,336,,2.0,stop,2026-09-21T12:30:38
A4_w1,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,72,727,809,,3.2,stop,2026-09-21T12:30:41
A4_w2,deepseek-flash,disabled,16000,deepseek-flash,ok,200,118,184,727,1927,,5.7,stop,2026-09-21T12:30:47
A4_w3,deepseek-flash,disabled,16000,deepseek-flash,ok,200,118,184,727,1933,,5.9,stop,2026-09-21T12:30:53
A4_w4,deepseek-flash,disabled,16000,deepseek-flash,ok,200,118,138,727,1469,,4.6,stop,2026-09-21T12:30:58
A5_w1,deepseek-flash,disabled,16000,deepseek-flash,ok,200,108,112,1051,1204,,4.3,stop,2026-09-21T12:31:02
A5_w2,deepseek-flash,disabled,16000,deepseek-flash,ok,200,62,61,1051,748,,3.4,stop,2026-09-21T12:31:05
A5_w3,deepseek-flash,disabled,16000,deepseek-flash,ok,200,58,58,1051,717,,3.2,stop,2026-09-21T12:31:08
A5_w4,deepseek-flash,disabled,16000,deepseek-flash,ok,200,108,111,1051,1202,,4.4,stop,2026-09-21T12:31:13
A6_w1,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,70,1051,784,,3.4,stop,2026-09-21T12:31:16
A6_w2,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,69,1051,829,,3.5,stop,2026-09-21T12:31:20
A6_w3,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,69,1051,832,,3.5,stop,2026-09-21T12:31:23
A6_w4,deepseek-flash,disabled,16000,deepseek-flash,ok,200,68,68,1051,768,,3.4,stop,2026-09-21T12:31:27
