win_id,archetype,n_first,n_second,rel_diff,ratio_max_min,in_file
A1_w2,A1,112,110,0.018018018018018018,1.018181818181818,110
A1_w3,A1,150,230,0.42105263157894735,1.5333333333333334,230
A1_w4,A1,105,162,0.42696629213483145,1.542857142857143,162
A2_w1,A2,113,199,0.5512820512820513,1.761061946902655,199
A2_w3,A2,60,100,0.5,1.6666666666666667,100
A2_w4,A2,201,250,0.21729490022172948,1.243781094527363,250
A3_w2,A3,42,28,0.4,1.5,28
A3_w3,A3,72,185,0.8793774319066148,2.5694444444444446,185
A3_w4,A3,60,42,0.35294117647058826,1.4285714285714286,42
A4_w1,A4,121,98,0.2100456621004566,1.2346938775510203,98
A4_w2,A4,162,253,0.43855421686746987,1.5617283950617284,253
A4_w3,A4,200,193,0.035623409669211195,1.0362694300518134,193
A4_w4,A4,464,150,1.022801302931596,3.0933333333333333,150
A5_w1,A5,378,301,0.2268041237113402,1.255813953488372,301
A5_w2,A5,105,98,0.06896551724137931,1.0714285714285714,98
A5_w3,A5,104,139,0.2880658436213992,1.3365384615384615,139
A5_w4,A5,157,176,0.11411411411411411,1.1210191082802548,176
A6_w1,A6,165,107,0.4264705882352941,1.5420560747663552,107
A6_w2,A6,203,146,0.32664756446991405,1.3904109589041096,146
A6_w3,A6,90,242,0.9156626506024096,2.688888888888889,242
A6_w4,A6,127,250,0.6525198938992043,1.968503937007874,250
