win_id,model_requested,thinking,max_tokens,model_returned,status,http,n_nuclei,n_points,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,finish_reason,timestamp
A1_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,195,195,753,22296,20633,68.0,stop,2026-09-21T12:31:03
A1_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,112,112,753,20542,19333,70.1,stop,2026-09-21T12:32:13
A1_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,110,110,753,19298,18018,60.3,stop,2026-09-21T12:33:08
A1_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,150,150,753,29075,27472,86.4,stop,2026-09-21T12:33:40
A1_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,230,230,753,24175,22182,74.9,stop,2026-09-21T12:34:23
A1_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,105,105,753,19144,17922,60.6,stop,2026-09-21T12:34:40
A1_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,162,162,753,23264,21422,66.9,stop,2026-09-21T12:35:30
A2_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,113,113,753,23400,22092,71.3,stop,2026-09-21T12:35:51
A2_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,200,200,753,12111,10394,41.7,stop,2026-09-21T12:36:33
A2_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,199,139,753,22369,21145,70.6,stop,2026-09-21T12:36:40
A2_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,60,60,753,13457,12715,46.9,stop,2026-09-21T12:37:20
A2_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,100,100,753,33760,32677,94.3,stop,2026-09-21T12:38:14
A2_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,201,201,753,22716,20830,70.1,stop,2026-09-21T12:38:30
A3_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,91,91,781,17358,16380,52.4,stop,2026-09-21T12:39:23
A2_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,250,250,753,21683,19056,68.5,stop,2026-09-21T12:39:23
A3_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,42,42,781,13139,12597,44.5,stop,2026-09-21T12:40:08
A3_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,28,28,781,15778,15438,52.1,stop,2026-09-21T12:40:15
A3_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,72,73,781,30405,29533,90.6,stop,2026-09-21T12:41:38
A3_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,185,185,781,40516,38939,114.1,stop,2026-09-21T12:42:09
A3_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,60,60,781,16335,15608,51.7,stop,2026-09-21T12:42:30
A3_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,42,42,781,14536,14011,47.6,stop,2026-09-21T12:42:56
A4_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,121,121,753,21309,19914,63.1,stop,2026-09-21T12:43:33
A4_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,98,98,753,15650,14499,51.1,stop,2026-09-21T12:43:47
A4_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,162,171,753,14058,12259,46.6,stop,2026-09-21T12:44:34
A4_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,253,253,753,24124,21415,74.3,stop,2026-09-21T12:44:47
A4_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,200,200,753,19678,17574,69.4,stop,2026-09-21T12:45:43
A4_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,193,193,753,19728,18081,61.5,stop,2026-09-21T12:45:49
A4_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,464,0,753,16460,16388,61.0,stop,2026-09-21T12:46:44
A4_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,150,150,753,19498,18168,62.0,stop,2026-09-21T12:46:51
A5_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,378,0,1077,21668,21598,69.4,stop,2026-09-21T12:47:54
A5_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,301,301,1077,23958,21503,73.0,stop,2026-09-21T12:48:04
A5_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,105,105,1077,21697,20470,66.1,stop,2026-09-21T12:49:10
A5_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,98,98,1077,26470,25632,81.3,stop,2026-09-21T12:49:15
A5_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,104,104,1077,17215,16001,52.9,stop,2026-09-21T12:50:03
A5_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,139,139,1077,26464,24863,78.8,stop,2026-09-21T12:50:34
A5_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,157,157,1077,24219,22419,75.9,stop,2026-09-21T12:51:19
A5_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,176,194,1077,18701,16634,57.6,stop,2026-09-21T12:51:32
A6_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,165,165,1077,23350,21459,67.8,stop,2026-09-21T12:52:26
A6_w1,deepseek-flash,enabled,64000,deepseek-flash,ok,200,107,107,1077,22830,21586,69.6,stop,2026-09-21T12:52:41
A6_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,203,202,1077,26331,24627,77.6,stop,2026-09-21T12:53:44
A6_w2,deepseek-flash,enabled,64000,deepseek-flash,ok,200,146,146,1077,18944,17255,63.8,stop,2026-09-21T12:53:45
A6_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,90,90,1077,19971,18904,63.7,stop,2026-09-21T12:54:49
A6_w3,deepseek-flash,enabled,64000,deepseek-flash,ok,200,242,0,1077,21268,21192,72.0,stop,2026-09-21T12:54:56
A6_w4,deepseek-flash,enabled,64000,deepseek-flash,ok,200,127,127,1077,18889,17808,61.1,stop,2026-09-21T12:55:50
