"check","esito","dettaglio"
"C-S0.3 run1 status","PASS","status=PASS, seed=42"
"C-S0.3 run2 status","PASS","status=PASS, seed=42"
"C-S0.4 n_cells_generated","PASS","run1=20000 | run2=20000"
"C-S0.4 n_clusters_found","PASS","run1=8 | run2=8"
"C-S0.4 matrix_dims","PASS","run1=5000x20000 | run2=5000x20000"
"C-S0.4 sparsity_pct","PASS","run1=90 | run2=90"
"C-S0.4 umi_mean","PASS","run1=8766 | run2=8766"
"C-S0.4 umi_median","PASS","run1=6850 | run2=6850"
"C-S0.4 umi_cv","PASS","run1=0.885 | run2=0.885"
"C-S0.4 md5 full_simulation_data run1==run2","PASS","5e3ba1f694fe947aee9de32b9b6c82b1 | 5e3ba1f694fe947aee9de32b9b6c82b1"
"C-S0.4 identical(expression) run1==run2","PASS","dim=5000x20000, nnz=10005496"
"C-S0.4 identical(coordinates) run1==run2","PASS","n=20000"
"Controprova-1 seed43: status PASS","PASS","status=PASS, seed=43"
"Controprova-1 seed43: md5 diverso da run1","PASS","3cc7e8ca524422c9bb7bb451c0ba5639 vs 5e3ba1f694fe947aee9de32b9b6c82b1"
"Controprova-1 seed43: expression diversa da run1","PASS","n_cells run1=20000 seed43=20000; sparsita run1=90.0 seed43=89.5; umi_mean run1=8766 seed43=9149"
"C-S0.5 legacy n_cells != run1 n_cells (atteso diverso)","PASS","legacy=180000 (cfg n_cells=90000, px=2.5, grid=6.5 mm) vs run1=20000 (cfg n_cells=10000, px=10, grid=8 mm)"
"C-S0.5 legacy full_simulation_data seed != 42 (atteso 1200)","PASS","seed legacy=1200"
