"pkg","set","loads","version","in_project_lib","built_R"
"sf","step1",TRUE,"1.1.3",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-09-12 04:21:49 UTC; unix"
"deldir","step1",TRUE,"2.0.4",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:21:29 UTC; unix"
"polylabelr","step1",TRUE,"1.0.0",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-07-06 14:30:16 UTC; unix"
"imager","step1",TRUE,"1.0.8",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-07-06 13:12:31 UTC; unix"
"testthat","step1",TRUE,"3.3.2",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-04-24 03:02:07 UTC; unix"
"quarto","step1",TRUE,"1.5.1",TRUE,"R 4.6.0; ; 2026-04-24 22:18:55 UTC; unix"
"Matrix","pipeline",TRUE,"1.7.6",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:21:51 UTC; unix"
"ClusterR","pipeline",TRUE,"1.3.7",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-09-09 09:31:43 UTC; unix"
"dplyr","pipeline",TRUE,"1.2.1",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:22:54 UTC; unix"
"sp","pipeline",TRUE,"2.2.3",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:21:49 UTC; unix"
"gstat","pipeline",TRUE,"2.1.6",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-04-24 23:13:13 UTC; unix"
"png","pipeline",TRUE,"0.1.9",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:21:34 UTC; unix"
"pbapply","pipeline",TRUE,"1.7.5",TRUE,"R 4.6.0; ; 2026-09-02 04:00:10 UTC; unix"
"future","pipeline",TRUE,"1.75.0",TRUE,"R 4.6.0; ; 2026-08-12 20:22:03 UTC; unix"
"future.apply","pipeline",TRUE,"1.20.2",TRUE,"R 4.6.0; ; 2026-08-12 20:22:17 UTC; unix"
"scales","pipeline",TRUE,"1.4.0",TRUE,"R 4.6.0; ; 2026-08-12 20:22:07 UTC; unix"
"RColorBrewer","pipeline",TRUE,"1.1.3",TRUE,"R 4.6.0; ; 2026-08-12 20:21:34 UTC; unix"
"ggplot2","pipeline",TRUE,"4.0.3",TRUE,"R 4.6.0; ; 2026-08-12 20:22:35 UTC; unix"
"tidyr","pipeline",TRUE,"1.3.2",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:23:24 UTC; unix"
"viridis","pipeline",TRUE,"0.6.5",TRUE,"R 4.6.0; ; 2026-08-12 20:23:08 UTC; unix"
"reshape2","pipeline",TRUE,"1.4.5",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:23:13 UTC; unix"
"hexbin","pipeline",TRUE,"1.28.6",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-07-29 05:45:00 UTC; unix"
"gridExtra","pipeline",TRUE,"2.3.1",TRUE,"R 4.6.0; ; 2026-08-12 20:22:12 UTC; unix"
"pheatmap","pipeline",TRUE,"1.0.13",TRUE,"R 4.6.0; ; 2026-04-24 22:07:46 UTC; unix"
"spatstat","pipeline",TRUE,"3.6.2",TRUE,"R 4.6.0; ; 2026-08-01 05:09:13 UTC; unix"
"spdep","pipeline",TRUE,"1.4.2",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-04-24 22:49:09 UTC; unix"
"fields","pipeline",TRUE,"17.3",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:22:20 UTC; unix"
"MASS","pipeline",TRUE,"7.3.66",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:21:31 UTC; unix"
"cluster","pipeline",TRUE,"2.1.8.3",TRUE,"R 4.6.0; x86_64-pc-linux-gnu; 2026-08-12 20:21:30 UTC; unix"
"tictoc","pipeline",TRUE,"1.2.1",TRUE,"R 4.6.0; ; 2026-04-24 01:53:01 UTC; unix"
"tidyverse","pipeline",TRUE,"2.0.0",TRUE,"R 4.6.0; ; 2026-08-12 20:27:55 UTC; unix"
"rmarkdown","pipeline",TRUE,"2.32",TRUE,"R 4.6.0; ; 2026-09-02 04:00:02 UTC; unix"
"knitr","pipeline",TRUE,"1.52",TRUE,"R 4.6.0; ; 2026-09-07 03:56:59 UTC; unix"
"withr","pipeline",TRUE,"3.0.3",TRUE,"R 4.6.0; ; 2026-08-12 20:21:40 UTC; unix"
"renv","pipeline",TRUE,"1.2.4",TRUE,"R 4.6.0; ; 2026-08-04 05:05:53 UTC; unix"
