Correlation_Level,Method,True_Positives,False_Positives,False_Negatives,Precision,Recall,F1_Score
high,Seurat,36,64,0,0.36,1,0.5294117647058824
high,Tweedie,61,39,0,0.61,1,0.7577639751552795
high,GAM,17,83,0,0.17,1,0.2905982905982906
high,RF,30,70,0,0.3,1,0.4615384615384615
medium,Seurat,35,65,0,0.35,1,0.5185185185185185
medium,Tweedie,28,72,0,0.28,1,0.43750000000000006
medium,GAM,43,57,0,0.43,1,0.6013986013986015
medium,RF,8,92,0,0.08,1,0.14814814814814814
low,Seurat,31,69,17,0.31,0.6458333333333334,0.41891891891891897
low,Tweedie,33,67,0,0.33,1,0.49624060150375937
low,GAM,21,79,0,0.21,1,0.34710743801652894
low,RF,35,65,0,0.35,1,0.5185185185185185
