Method,Class,True_Positives,False_Positives,False_Negatives,Precision
Seurat,cells_a,8114,73,72,0.9910834249419812
Seurat,cells_b,7332,49,96,0.9933613331526894
Seurat,cells_c,7052,84,44,0.9882286995515696
Seurat,cells_d,4992,44,40,0.9912629070691025
Seurat,cells_e,2246,14,12,0.9938053097345133
Seurat,Total,29736,264,264,0.9912
HDBSCAN,cells_a,8112,79,74,0.990355267977048
HDBSCAN,cells_b,7332,50,96,0.9932267678136006
HDBSCAN,cells_c,7046,78,50,0.9890510948905109
HDBSCAN,cells_d,4978,36,54,0.992820103709613
HDBSCAN,cells_e,2252,37,6,0.9838357361293141
HDBSCAN,Total,29720,280,280,0.9906666666666667
