Method,Class,True_Positives,False_Positives,False_Negatives,Precision
Seurat,cells_a,2851,7937,5335,0.264275120504264
Seurat,cells_b,548,1403,6880,0.28088159917990774
Seurat,cells_c,171,1165,6925,0.1279940119760479
Seurat,cells_d,119,1162,4913,0.09289617486338798
Seurat,cells_e,54,1208,2204,0.042789223454833596
Seurat,noise,0,13382,0,0
Seurat,Total,3743,26257,26257,0.12476666666666666
HDBSCAN,cells_a,8091,21587,95,0.27262618774850056
HDBSCAN,cells_b,84,228,7344,0.2692307692307692
HDBSCAN,cells_c,2,8,7094,0.2
HDBSCAN,cells_d,0,0,5032,NA
HDBSCAN,cells_e,0,0,2258,NA
HDBSCAN,Total,8177,21823,21823,0.2725666666666667
