Method,Class,True_Positives,False_Positives,False_Negatives,Precision
Seurat,cells_a,1003,6699,7183,0.1302259153466632
Seurat,cells_b,191,6916,7237,0.02687491205853384
Seurat,cells_c,201,6190,6895,0.03145047723360976
Seurat,cells_d,203,5796,4829,0.0338389731621937
Seurat,cells_e,1869,932,389,0.6672616922527669
Seurat,Total,3467,26533,26533,0.11556666666666666
HDBSCAN,cells_a,4447,11484,3739,0.27914129684263383
HDBSCAN,cells_b,132,2274,7296,0.05486284289276808
HDBSCAN,cells_c,15,607,7081,0.024115755627009645
HDBSCAN,cells_d,385,46,4647,0.8932714617169374
HDBSCAN,cells_e,2,411,2256,0.004842615012106538
HDBSCAN,noise,0,10197,0,0
HDBSCAN,Total,4981,25019,25019,0.16603333333333334
