Method,Class,True_Positives,False_Positives,False_Negatives,Precision
Seurat,cells_a,2130,7756,3762,0.21545620068784138
Seurat,cells_b,1059,909,3645,0.538109756097561
Seurat,cells_c,108,1297,3818,0.07686832740213523
Seurat,cells_d,84,1074,3337,0.07253886010362694
Seurat,cells_e,64,981,1993,0.06124401913875598
Seurat,noise,0,4538,0,0
Seurat,Total,3445,16555,16555,0.17225
HDBSCAN,cells_a,2594,6265,3298,0.292809572186477
HDBSCAN,cells_b,101,656,4603,0.1334214002642008
HDBSCAN,cells_c,285,278,3641,0.5062166962699822
HDBSCAN,cells_d,37,375,3384,0.08980582524271845
HDBSCAN,cells_e,11,354,2046,0.030136986301369864
HDBSCAN,noise,0,9044,0,0
HDBSCAN,Total,3028,16972,16972,0.1514
