Method,Class,True_Positives,False_Positives,False_Negatives,Precision
Seurat,cells_a,2295,8395,373,0.2146866230121609
Seurat,cells_b,298,1087,2071,0.21516245487364621
Seurat,cells_c,31,164,1885,0.15897435897435896
Seurat,cells_d,0,0,1663,NA
Seurat,cells_e,0,0,1538,NA
Seurat,cells_f,0,0,1324,NA
Seurat,cells_g,0,0,792,NA
Seurat,Total,2624,9646,9646,0.21385493072534636
HDBSCAN,cells_a,2633,9497,35,0.2170651277823578
HDBSCAN,cells_b,20,75,2349,0.21052631578947367
HDBSCAN,cells_c,7,38,1909,0.15555555555555556
HDBSCAN,cells_d,0,0,1663,NA
HDBSCAN,cells_e,0,0,1538,NA
HDBSCAN,cells_f,0,0,1324,NA
HDBSCAN,cells_g,0,0,792,NA
HDBSCAN,Total,2660,9610,9610,0.21678891605541972
